Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.19063929562334797
Mixed,Transcription rate,2.8013152860923776
Mixed,Transcription rate,0.09665305638957838
Mixed,Transcription rate,3.4221624232706627
Mixed,Transcription rate,2.242045776933828
Mixed,Transcription rate,0.7904987595499757
Mixed,Transcription rate,1.2843047858651144
Mixed,Transcription rate,0.3053851914644275
Mixed,Transcription rate,1.5763794419497716
Mixed,Transcription rate,5.023026541304678
Mixed,Transcription rate,3.177693235048346
Mixed,Transcription rate,1.872953647486797
Mixed,Transcription rate,2.745566654925558
Mixed,Transcription rate,3.487911623461873
Mixed,Transcription rate,0.30878418763070725
Mixed,Transcription rate,1.2820219676125981
Mixed,Transcription rate,6.4021235248637804
Mixed,Transcription rate,0.03283411065456408
Mixed,Transcription rate,4.162746779594986
Mixed,Transcription rate,1.5728065777799844
Mixed,Transcription rate,3.3004231734715015
Mixed,Transcription rate,0.49225795800895655
Mixed,Transcription rate,0.2316513051265707
Mixed,Transcription rate,5.028807545749886
Mixed,Transcription rate,0.19799765263543664
Mixed,Transcription rate,0.8042873390966363
Mixed,Transcription rate,3.4651884800529076
Mixed,Transcription rate,0.20044600047470604
Mixed,Transcription rate,0.07060525797105266
Mixed,Transcription rate,0.6177436904167923
Mixed,Transcription rate,0.026194211022747358
Mixed,Transcription rate,6.4476440331039315
Mixed,Transcription rate,0.4894292795334394
Mixed,Transcription rate,3.7709120082096925
Mixed,Transcription rate,3.3576660259130793
Mixed,Transcription rate,0.24352024797516653
Mixed,Transcription rate,1.8009760630732843
Mixed,Transcription rate,0.23876760315138718
Mixed,Transcription rate,1.4357594143643513
Mixed,Transcription rate,1.2906096412067924
Mixed,Transcription rate,2.055826985632339
Mixed,Transcription rate,1.9322502680152172
Mixed,Transcription rate,3.3296314553077955
Mixed,Transcription rate,2.1687916363870428
Mixed,Transcription rate,2.9699685517419114
Mixed,Transcription rate,5.059155544555458
Mixed,Transcription rate,5.765527691668445
Mixed,Transcription rate,0.22370753352653658
Mixed,Transcription rate,0.09513632779699815
Mixed,Transcription rate,0.24162542582204138
Mixed,Transcription rate,0.556871585123478
Mixed,Transcription rate,0.5068213220338267
Mixed,Transcription rate,2.6200963002852906
Mixed,Transcription rate,0.1781509086387595
Mixed,Transcription rate,2.502150220403507
Mixed,Transcription rate,0.32979799231736073
Mixed,Transcription rate,2.055677840261454
Mixed,Transcription rate,3.265236421075491
Mixed,Transcription rate,2.30795129729796
Mixed,Transcription rate,2.10032325029748
Mixed,Transcription rate,0.19253177170582678
Mixed,Transcription rate,1.0265758159358216
Mixed,Transcription rate,2.698116445761848
Mixed,Transcription rate,2.3687316504683245
Mixed,Transcription rate,0.4961392841900386
Mixed,Transcription rate,2.7003181231186937
Mixed,Transcription rate,3.656246073597657
Mixed,Transcription rate,4.977928945997396
Mixed,Transcription rate,1.1464403520945372
Mixed,Transcription rate,1.5139239491493122
Mixed,Transcription rate,2.927500793509498
Mixed,Transcription rate,0.5471967077175308
Mixed,Transcription rate,0.44666342302778017
Mixed,Transcription rate,0.872348057352809
Mixed,Transcription rate,0.36910555400410205
Mixed,Transcription rate,3.7732142923421783
Mixed,Transcription rate,0.5460547760076933
Mixed,Transcription rate,0.19229291137557836
Mixed,Transcription rate,0.2828466545177346
Mixed,Transcription rate,1.8156090446739783
Mixed,Transcription rate,0.30761349580874164
Mixed,Transcription rate,2.2541293519021646
Mixed,Transcription rate,1.426864562990489
Mixed,Transcription rate,1.4746559552608756
Mixed,Transcription rate,2.086821215390446
Mixed,Transcription rate,0.7740869126215836
Mixed,Transcription rate,4.78631759607138
Mixed,Transcription rate,3.1099689510507935
Mixed,Transcription rate,3.1733665276679
Mixed,Transcription rate,3.2760217206694557
Mixed,Transcription rate,0.5612008651767608
Mixed,Transcription rate,0.46072815084933105
Mixed,Transcription rate,3.209739530027155
Mixed,Transcription rate,0.5900266742213506
Mixed,Transcription rate,0.6204134120507362
Mixed,Transcription rate,1.0537077695585717
Mixed,Transcription rate,0.05922077987413899
Mixed,Transcription rate,3.0973900452144427
Mixed,Transcription rate,2.678194437744885
Mixed,Transcription rate,2.325175693213189
Mixed,Transcription rate,0.8588388178828351
Mixed,Transcription rate,0.07638558906300136
Mixed,Transcription rate,4.913039710478826
Mixed,Transcription rate,0.21253934647396597
Mixed,Transcription rate,3.7901329310329364
Mixed,Transcription rate,0.5731337330789081
Mixed,Transcription rate,1.207905462357253
Mixed,Transcription rate,0.6606641765841949
Mixed,Transcription rate,0.7386671627325541
Mixed,Transcription rate,0.6552938312688981
Mixed,Transcription rate,0.3551614968051446
Mixed,Transcription rate,0.7454574280844779
Mixed,Transcription rate,3.6495256571940478
Mixed,Transcription rate,0.4997397576534588
Mixed,Transcription rate,1.296083938217361
Mixed,Transcription rate,0.32726735352514186
Mixed,Transcription rate,5.584058152597761
Mixed,Transcription rate,0.27757692245748744
Mixed,Transcription rate,2.6932952075430365
Mixed,Transcription rate,4.150554947324968
Mixed,Transcription rate,0.1804637458491795
Mixed,Transcription rate,2.371509230243551
Mixed,Transcription rate,0.17072238908289747
Mixed,Transcription rate,2.7846256507578566
Mixed,Transcription rate,0.43320488233020016
Mixed,Transcription rate,0.6947386558735382
Mixed,Transcription rate,3.0398499539689303
Mixed,Transcription rate,1.3675186488558904
Mixed,Transcription rate,2.2412019914880754
Mixed,Transcription rate,1.105489727065151
Mixed,Transcription rate,0.09630734882387276
Mixed,Transcription rate,0.2768609336569013
Mixed,Transcription rate,1.1430461157632912
Mixed,Transcription rate,0.27188191453384475
Mixed,Transcription rate,2.0371136015242124
Mixed,Transcription rate,0.21916089763750302
Mixed,Transcription rate,2.3492427508598994
Mixed,Transcription rate,4.157412585392692
Mixed,Transcription rate,0.7412349915060761
Mixed,Transcription rate,0.12443226483712992
Mixed,Transcription rate,4.462642568615085
Mixed,Transcription rate,1.1487396042701887
Mixed,Transcription rate,0.9838285630324349
Mixed,Transcription rate,2.591155433884147
Mixed,Transcription rate,0.6646765906098193
Mixed,Transcription rate,0.010563911800216708
Mixed,Transcription rate,0.6528167956473458
Mixed,Transcription rate,0.5293850517872181
Mixed,Transcription rate,1.749763672916838
Mixed,Transcription rate,2.700978776711707
Mixed,Transcription rate,3.6189230716838376
Mixed,Transcription rate,0.6998789112891459
Mixed,Transcription rate,0.12195789778093233
Mixed,Transcription rate,0.796382181514717
Mixed,Transcription rate,2.100452901767078
Mixed,Transcription rate,2.6345483824839677
Mixed,Transcription rate,0.4504288405794675
Mixed,Transcription rate,0.7954892381612927
Mixed,Transcription rate,0.4073675826441154
Mixed,Transcription rate,0.12803210760709866
Mixed,Transcription rate,2.6327946445739583
Mixed,Transcription rate,0.10970587599431421
Mixed,Transcription rate,0.0032484595018905404
Mixed,Transcription rate,0.4678724608718654
Mixed,Transcription rate,6.128560631147622
Mixed,Transcription rate,0.3262498609895138
Mixed,Transcription rate,0.7166321169023014
Mixed,Transcription rate,0.6098999603496942
Mixed,Transcription rate,2.2239355407982258
Mixed,Transcription rate,3.7568074185197204
Mixed,Transcription rate,0.037939234986915045
Mixed,Transcription rate,4.707892034019189
Mixed,Transcription rate,0.35521770627608096
Mixed,Transcription rate,0.8931599695993262
Mixed,Transcription rate,0.6292140308984178
Mixed,Transcription rate,1.9873402796547157
Mixed,Transcription rate,0.4494900227716486
Mixed,Transcription rate,4.184525953319379
Mixed,Transcription rate,2.9399606575297823
Mixed,Transcription rate,1.102180521814071
