Model,Parameter,Log2 fold-change
Mixed,Transcription rate,1.5594843873441362
Mixed,Transcription rate,1.7467194618730089
Mixed,Transcription rate,1.464193555497482
Mixed,Transcription rate,3.4430799303806037
Mixed,Transcription rate,0.4627805891573532
Mixed,Transcription rate,1.059981416161382
Mixed,Transcription rate,0.5316720328421838
Mixed,Transcription rate,1.6447179544260502
Mixed,Transcription rate,0.0029414391917499867
Mixed,Transcription rate,1.5958526587163506
Mixed,Transcription rate,1.9048703858708325
Mixed,Transcription rate,1.422198582529693
Mixed,Transcription rate,0.036127961099673374
Mixed,Transcription rate,3.2787385468027344
Mixed,Transcription rate,0.5137673455445202
Mixed,Transcription rate,1.1323679995520055
Mixed,Transcription rate,2.9643084955857053
Mixed,Transcription rate,0.16399563031195513
Mixed,Transcription rate,1.0807279132380316
Mixed,Transcription rate,0.03777914685565947
Mixed,Transcription rate,3.1475491860209575
Mixed,Transcription rate,0.952614133904627
Mixed,Transcription rate,4.334516490179473
Mixed,Transcription rate,1.5932787997969933
Mixed,Transcription rate,0.5823916181723334
Mixed,Transcription rate,0.351351694363626
Mixed,Transcription rate,0.6005245054652966
Mixed,Transcription rate,4.006366282068411
Mixed,Transcription rate,0.8227847324620456
Mixed,Transcription rate,0.12444149487195169
Mixed,Transcription rate,0.2824462757214668
Mixed,Transcription rate,0.49358069378621094
Mixed,Transcription rate,0.34192239904429494
Mixed,Transcription rate,0.4307747095515567
Mixed,Transcription rate,0.003253113976213685
Mixed,Transcription rate,0.029860302293953783
Mixed,Transcription rate,0.16089642757768052
Mixed,Transcription rate,1.2672861640780646
Mixed,Transcription rate,0.6382061861838979
Mixed,Transcription rate,0.050421237284113324
Mixed,Transcription rate,0.5949277571259353
Mixed,Transcription rate,1.2607919066584026
Mixed,Transcription rate,4.982174174376581
Mixed,Transcription rate,0.5364733805233126
Mixed,Transcription rate,0.010329219308154804
Mixed,Transcription rate,1.7597263165938957
Mixed,Transcription rate,1.588652121361882
Mixed,Transcription rate,0.19933019698757967
Mixed,Transcription rate,3.7227549656070225
Mixed,Transcription rate,1.8566406392164447
Mixed,Transcription rate,2.5890150906128993
