Model,Run,Iter,Dupli_effect,pearson,r_pval,spearman,rho_pval
Minimal,Bm3,iter1,1.86,0.5490084228692607,7.753452374736709e-158,0.47193287498321873,1.8344776854259724e-111
Minimal,Bm3,iter2,1.86,0.5660985592181169,7.519842582471493e-170,0.5205299231324808,2.6809163707018245e-139
Minimal,Bm3,iter3,1.86,0.5127967590379068,1.4598206249715642e-134,0.4550985507746377,8.013383568898697e-103
Minimal,Bm4,iter1,1.86,0.6618769064623269,2.2622761132530764e-252,0.5832838833209708,1.1613874266153822e-182
Minimal,Bm4,iter2,1.86,0.6582443796337292,1.1059935187619374e-248,0.6037458099364525,5.979280979779828e-199
Minimal,Bm4,iter3,1.86,0.617349708801626,1.8840034272820496e-210,0.5532778173194542,8.985160617366884e-161
Minimal,Bm8,iter1,1.86,0.8185202179652681,0.0,0.7596054969013741,0.0
Minimal,Bm8,iter2,1.86,0.8200561083433298,0.0,0.7555771423942855,0.0
Minimal,Bm8,iter3,1.86,0.7962163924169123,0.0,0.7349963647490911,0.0
Minimal,Bm1,iter1,2.25,0.02949523118820079,0.18732661047690238,0.020032452508113124,0.37056888031288704
Minimal,Bm1,iter2,2.25,0.04964691037927553,0.026401229951125368,0.05193372698343174,0.020197301748706684
Minimal,Bm1,iter3,2.25,-0.029886219465351936,0.1815443056372297,-0.0432626328156582,0.05305661089257425
Minimal,Bm3,iter1,2.25,0.5449263028927116,4.5420269028602415e-155,0.4754599758649939,2.4608926306929294e-113
Minimal,Bm3,iter2,2.25,0.5542291030937475,1.965765182042814e-161,0.5037082634270658,3.771397829607838e-129
Minimal,Bm3,iter3,2.25,0.541458542098978,9.520210990333544e-153,0.4757995789498947,1.620495466947635e-113
Minimal,Bm4,iter1,2.25,0.6491124893862611,1.2437790537421503e-239,0.5830460792615197,1.7680776569224548e-182
Minimal,Bm4,iter2,2.25,0.6752889358313479,1.8752541802343965e-266,0.6115092688773172,1.912837229818375e-205
Minimal,Bm4,iter3,2.25,0.6503273508296438,8.103814886007615e-241,0.5709377912344479,2.2137248088785352e-173
Minimal,Bm8,iter1,2.25,0.8167088674144254,0.0,0.7659908769977192,0.0
Minimal,Bm8,iter2,2.25,0.8202208224731793,0.0,0.7568149382037345,0.0
Minimal,Bm8,iter3,2.25,0.8310619863666706,0.0,0.7654111928527981,0.0
