,Model,Comparison,Run,Mut_sd,KS stats
200,Minimal,SSD,Bm8,0.01,0.1853943089430894
201,Minimal,SSD,Bm8,0.025,0.15892784552845526
202,Minimal,SSD,Bm8,0.05,0.1622733739837398
203,Minimal,SSD,Bm8,0.075,0.1786798780487805
204,Minimal,SSD,Bm8,0.1,0.20303963414634144
205,Minimal,SSD,Bm8,0.125,0.23498780487804874
206,Minimal,SSD,Bm8,0.15,0.2756219512195121
207,Minimal,SSD,Bm8,0.2,0.32525
208,Minimal,SSD,Bm8,0.25,0.34925813008130085
209,Minimal,SSD,Bm8,0.35,0.3880518292682928
210,Minimal,SSD,Bm9,0.01,0.19018089430894305
211,Minimal,SSD,Bm9,0.025,0.16382520325203248
212,Minimal,SSD,Bm9,0.05,0.166890243902439
213,Minimal,SSD,Bm9,0.075,0.18624491869918694
214,Minimal,SSD,Bm9,0.1,0.20924898373983736
215,Minimal,SSD,Bm9,0.125,0.23956300813008122
216,Minimal,SSD,Bm9,0.15,0.28092276422764223
217,Minimal,SSD,Bm9,0.2,0.33154268292682926
218,Minimal,SSD,Bm9,0.25,0.3527794715447154
219,Minimal,SSD,Bm9,0.35,0.38659349593495934
220,Mixed,SSD,Bm05,0.01,0.2563993902439024
221,Mixed,SSD,Bm05,0.025,0.2355802845528455
222,Mixed,SSD,Bm05,0.05,0.2146493902439024
223,Mixed,SSD,Bm05,0.075,0.22420223577235768
224,Mixed,SSD,Bm05,0.1,0.23906504065040646
225,Mixed,SSD,Bm05,0.125,0.2592306910569105
226,Mixed,SSD,Bm05,0.15,0.27044918699186987
227,Mixed,SSD,Bm05,0.2,0.31693394308943085
228,Mixed,SSD,Bm05,0.25,0.36270934959349593
229,Mixed,SSD,Bm05,0.35,0.392125
230,Mixed,SSD,Bm1,0.01,0.26311788617886184
231,Mixed,SSD,Bm1,0.025,0.22877540650406503
232,Mixed,SSD,Bm1,0.05,0.22197865853658535
233,Mixed,SSD,Bm1,0.075,0.23001219512195117
234,Mixed,SSD,Bm1,0.1,0.24930487804878043
235,Mixed,SSD,Bm1,0.125,0.2710985772357723
236,Mixed,SSD,Bm1,0.15,0.2924014227642276
237,Mixed,SSD,Bm1,0.2,0.30921138211382104
238,Mixed,SSD,Bm1,0.25,0.32802134146341455
239,Mixed,SSD,Bm1,0.35,0.34123373983739835
240,Mixed,SSD,Bm10,0.01,0.2773577235772357
241,Mixed,SSD,Bm10,0.025,0.24574390243902436
242,Mixed,SSD,Bm10,0.05,0.23440142276422762
243,Mixed,SSD,Bm10,0.075,0.24806504065040647
244,Mixed,SSD,Bm10,0.1,0.270025406504065
245,Mixed,SSD,Bm10,0.125,0.29676117886178854
246,Mixed,SSD,Bm10,0.15,0.32115447154471544
247,Mixed,SSD,Bm10,0.2,0.35933638211382113
248,Mixed,SSD,Bm10,0.25,0.3744247967479674
249,Mixed,SSD,Bm10,0.35,0.3838069105691057
250,Mixed,SSD,Bm2,0.01,0.266150406504065
251,Mixed,SSD,Bm2,0.025,0.2424339430894309
252,Mixed,SSD,Bm2,0.05,0.22289735772357724
253,Mixed,SSD,Bm2,0.075,0.23290752032520323
254,Mixed,SSD,Bm2,0.1,0.24966260162601625
255,Mixed,SSD,Bm2,0.125,0.2740782520325203
256,Mixed,SSD,Bm2,0.15,0.2991412601626016
257,Mixed,SSD,Bm2,0.2,0.33392174796747964
258,Mixed,SSD,Bm2,0.25,0.351405487804878
259,Mixed,SSD,Bm2,0.35,0.3861168699186992
260,Mixed,SSD,Bm3,0.01,0.27088109756097556
261,Mixed,SSD,Bm3,0.025,0.2500619918699187
262,Mixed,SSD,Bm3,0.05,0.22741565040650402
263,Mixed,SSD,Bm3,0.075,0.2413211382113821
264,Mixed,SSD,Bm3,0.1,0.2633821138211382
265,Mixed,SSD,Bm3,0.125,0.28099491869918697
266,Mixed,SSD,Bm3,0.15,0.3022002032520325
267,Mixed,SSD,Bm3,0.2,0.33910467479674794
268,Mixed,SSD,Bm3,0.25,0.36737499999999995
269,Mixed,SSD,Bm3,0.35,0.39295833333333335
270,Mixed,SSD,Bm4,0.01,0.27447256097560974
271,Mixed,SSD,Bm4,0.025,0.24297967479674795
272,Mixed,SSD,Bm4,0.05,0.2261808943089431
273,Mixed,SSD,Bm4,0.075,0.23925914634146336
274,Mixed,SSD,Bm4,0.1,0.2559715447154471
275,Mixed,SSD,Bm4,0.125,0.28194512195121946
276,Mixed,SSD,Bm4,0.15,0.3030721544715447
277,Mixed,SSD,Bm4,0.2,0.3476788617886178
278,Mixed,SSD,Bm4,0.25,0.36453353658536586
279,Mixed,SSD,Bm4,0.35,0.39429166666666665
280,Mixed,SSD,Bm5,0.01,0.2713567073170731
281,Mixed,SSD,Bm5,0.025,0.24385975609756094
282,Mixed,SSD,Bm5,0.05,0.2318871951219512
283,Mixed,SSD,Bm5,0.075,0.24506707317073162
284,Mixed,SSD,Bm5,0.1,0.26164227642276416
285,Mixed,SSD,Bm5,0.125,0.2837947154471544
286,Mixed,SSD,Bm5,0.15,0.3046087398373984
287,Mixed,SSD,Bm5,0.2,0.34931199186991874
288,Mixed,SSD,Bm5,0.25,0.3664166666666666
289,Mixed,SSD,Bm5,0.35,0.39240853658536584
290,Mixed,SSD,Bm6,0.01,0.2738313008130081
291,Mixed,SSD,Bm6,0.025,0.2452530487804878
292,Mixed,SSD,Bm6,0.05,0.23253556910569098
293,Mixed,SSD,Bm6,0.075,0.24539227642276418
294,Mixed,SSD,Bm6,0.1,0.2648770325203252
295,Mixed,SSD,Bm6,0.125,0.2866788617886179
296,Mixed,SSD,Bm6,0.15,0.3161961382113821
297,Mixed,SSD,Bm6,0.2,0.3498119918699187
298,Mixed,SSD,Bm6,0.25,0.37017479674796744
299,Mixed,SSD,Bm6,0.35,0.3808150406504065
300,Mixed,SSD,Bm7,0.01,0.2722560975609756
301,Mixed,SSD,Bm7,0.025,0.24719308943089427
302,Mixed,SSD,Bm7,0.05,0.23576117886178852
303,Mixed,SSD,Bm7,0.075,0.24718292682926826
304,Mixed,SSD,Bm7,0.1,0.2624065040650406
305,Mixed,SSD,Bm7,0.125,0.2890955284552845
306,Mixed,SSD,Bm7,0.15,0.31340548780487804
307,Mixed,SSD,Bm7,0.2,0.3548455284552845
308,Mixed,SSD,Bm7,0.25,0.37388313008130075
309,Mixed,SSD,Bm7,0.35,0.3833983739837398
310,Mixed,SSD,Bm8,0.01,0.27329166666666665
311,Mixed,SSD,Bm8,0.025,0.24726829268292683
312,Mixed,SSD,Bm8,0.05,0.23419715447154466
313,Mixed,SSD,Bm8,0.075,0.24955081300813
314,Mixed,SSD,Bm8,0.1,0.2667205284552845
315,Mixed,SSD,Bm8,0.125,0.2929878048780488
316,Mixed,SSD,Bm8,0.15,0.31442682926829263
317,Mixed,SSD,Bm8,0.2,0.35735873983739835
318,Mixed,SSD,Bm8,0.25,0.3722581300813008
319,Mixed,SSD,Bm8,0.35,0.386390243902439
320,Mixed,SSD,Bm9,0.01,0.2803678861788617
321,Mixed,SSD,Bm9,0.025,0.24796544715447155
322,Mixed,SSD,Bm9,0.05,0.2357042682926829
323,Mixed,SSD,Bm9,0.075,0.25182926829268293
324,Mixed,SSD,Bm9,0.1,0.26700508130081296
325,Mixed,SSD,Bm9,0.125,0.2923191056910569
326,Mixed,SSD,Bm9,0.15,0.31537195121951217
327,Mixed,SSD,Bm9,0.2,0.35562601626016255
328,Mixed,SSD,Bm9,0.25,0.3740914634146341
329,Mixed,SSD,Bm9,0.35,0.38568191056910567
330,No Cost,SSD,Bm05,0.01,0.16984959349593495
331,No Cost,SSD,Bm05,0.025,0.12916666666666665
332,No Cost,SSD,Bm05,0.05,0.12426422764227636
333,No Cost,SSD,Bm05,0.075,0.1697845528455284
334,No Cost,SSD,Bm05,0.1,0.253535569105691
335,No Cost,SSD,Bm05,0.125,0.3185802845528455
336,No Cost,SSD,Bm05,0.15,0.3553607723577235
337,No Cost,SSD,Bm05,0.2,0.40837499999999993
338,No Cost,SSD,Bm05,0.25,0.4189583333333333
339,No Cost,SSD,Bm05,0.35,0.4380833333333334
340,No Cost,SSD,Bm1,0.01,0.17773678861788614
341,No Cost,SSD,Bm1,0.025,0.1446930894308943
342,No Cost,SSD,Bm1,0.05,0.14497154471544713
343,No Cost,SSD,Bm1,0.075,0.17071341463414627
344,No Cost,SSD,Bm1,0.1,0.23019817073170726
345,No Cost,SSD,Bm1,0.125,0.28924390243902437
346,No Cost,SSD,Bm1,0.15,0.32055894308943084
347,No Cost,SSD,Bm1,0.2,0.358994918699187
348,No Cost,SSD,Bm1,0.25,0.3631087398373984
349,No Cost,SSD,Bm1,0.35,0.3717916666666666
350,No Cost,SSD,Bm10,0.01,0.2522571138211382
351,No Cost,SSD,Bm10,0.025,0.22248983739837394
352,No Cost,SSD,Bm10,0.05,0.2168333333333333
353,No Cost,SSD,Bm10,0.075,0.2267713414634146
354,No Cost,SSD,Bm10,0.1,0.2665894308943089
355,No Cost,SSD,Bm10,0.125,0.30390650406504066
356,No Cost,SSD,Bm10,0.15,0.3258282520325203
357,No Cost,SSD,Bm10,0.2,0.35396646341463417
358,No Cost,SSD,Bm10,0.25,0.36872865853658526
359,No Cost,SSD,Bm10,0.35,0.41036686991869925
