Systematic Name,Half-life [min],R2
YGL202W,13,1
YGR200C,13,1
YNL132W,13,1
YBR149W,13,1
YOR004W,13,1
YDR087C,13,1
YNL239W,13,1
YLR196W,13,1
YMR300C,13,1
YKL043W,14,0.84
YHL022C,14,0.86
YPR116W,14,0.86
YDR259C,14,0.87
YNL065W,14,0.88
YEL073C,14,0.88
YPL201C,14,0.89
YER142C,14,0.9
YGL179C,14,0.9
YGL089C,14,0.91
YGR066C,14,0.91
YOL156W,14,0.91
YLR069C,14,0.91
YCL040W,14,0.91
YAL064W,14,0.92
YDR345C,14,0.92
YJL088W,14,0.93
YGL006W,14,0.93
YJR111C,14,0.93
YOR360C,14,0.93
YOL104C,14,0.93
YGR258C,14,0.93
YNR066C,14,0.94
YPL018W,14,0.94
YPL280W,14,0.94
YPR117W,14,0.94
YJR130C,14,0.94
YGL126W,14,0.94
YJL219W,14,0.94
YBR201W,14,0.95
YOR173W,14,0.95
YML035C,14,0.95
YOR376W-A,14,0.95
YPR145C-A,14,0.95
YHR213W-A,14,0.95
YDR075W,14,0.95
YJL071W,14,0.95
YDR006C,14,0.95
YDR522C,14,0.95
YIL157C,14,0.95
YBR056W,14,0.95
YCL001W-A,14,0.95
YBR024W,14,0.95
YHR024C,14,0.95
YKR099W,14,0.96
YNR044W,14,0.96
YKR098C,14,0.96
YGR233C,14,0.96
YML005W,14,0.96
YML043C,14,0.96
YJR096W,14,0.96
YDR268W,14,0.96
YML128C,14,0.96
YDL098C,14,0.96
YMR304W,14,0.96
YOR389W,14,0.96
YBR104W,14,0.96
YLL048C,14,0.96
YHR092C,14,0.96
YDR184C,14,0.96
YER054C,14,0.96
YHR136C,14,0.96
YKL074C,14,0.97
YER039C-A,14,0.97
YBL014C,14,0.97
YMR181C,14,0.97
YGL150C,14,0.97
YBL067C,14,0.97
YDR335W,14,0.97
YML088W,14,0.97
YPL094C,14,0.97
YDR449C,14,0.97
YNR075W,14,0.97
YOL147C,14,0.97
YLR024C,14,0.97
YDR281C,14,0.97
YMR100W,14,0.97
YOR341W,14,0.97
YGR036C,14,0.97
YAL029C,14,0.97
YGR093W,14,0.97
YER069W,14,0.97
YDL210W,14,0.97
YMR170C,14,0.97
YGL119W,14,0.97
YBL064C,14,0.97
YGR165W,14,0.97
YGR132C,14,0.97
YDR273W,14,0.97
YGL195W,14,0.97
YGR211W,14,0.97
YGR145W,14,0.97
YOR321W,14,0.97
YDL147W,14,0.97
YCR054C,14,0.97
YDR481C,14,0.97
YGR168C,14,0.97
YPL006W,14,0.97
YOR213C,14,0.97
YBR141C,14,0.97
YPL277C,14,0.97
YJR119C,14,0.97
YKR056W,14,0.97
YDR334W,14,0.97
YBR155W,14,0.97
YPL193W,14,0.97
YPR048W,14,0.98
YPL179W,14,0.98
YBR287W,14,0.98
YOR339C,14,0.98
YBL093C,14,0.98
YLR419W,14,0.98
YMR096W,14,0.98
YLR216C,14,0.98
YIL067C,14,0.98
YIR002C,14,0.98
YDR127W,14,0.98
YKL209C,14,0.98
YHR112C,14,0.98
YGR128C,14,0.98
YHR027C,14,0.98
YBR256C,14,0.98
YIR038C,14,0.98
YDR402C,14,0.98
YKL220C,14,0.98
YIL091C,14,0.98
YOL067C,14,0.98
YOL141W,14,0.98
YGR123C,14,0.98
YOR298W,14,0.98
YBR140C,14,0.98
YJL058C,14,0.98
YGR271C-A,14,0.98
YMR031C,14,0.98
YDL178W,14,0.98
YCR035C,14,0.98
YJR105W,14,0.98
YER038C,14,0.98
YNL287W,14,0.98
YMR020W,14,0.98
YDR465C,14,0.98
YOR077W,14,0.98
YKL033W,14,0.98
YDR232W,14,0.98
YIR037W,14,0.98
YOR117W,14,0.98
YER007W,14,0.98
YDR363W,14,0.98
YPL146C,14,0.98
YMR247C,14,0.98
YCR009C,14,0.98
YLR173W,14,0.99
YNR019W,14,0.99
YOR014W,14,0.99
YPR097W,14,0.99
YDL160C,14,0.99
YDR135C,14,0.99
YGL137W,14,0.99
YLR410W,14,0.99
YDR398W,14,0.99
YAL026C,14,0.99
YJL012C,14,0.99
YGR071C,14,0.99
YMR012W,14,0.99
YDL073W,14,0.99
YDR020C,14,0.99
YHR033W,14,0.99
YOR154W,14,0.99
YDR238C,14,0.99
YOR207C,14,0.99
YHR099W,14,0.99
YML070W,14,0.99
YLR347C,14,0.99
YHR201C,14,0.99
YHR020W,14,0.99
YGL234W,14,0.99
YGL238W,14,0.99
YNL119W,14,0.99
YNL240C,14,0.99
YMR041C,14,0.99
YER105C,14,0.99
YML103C,14,0.99
YJL039C,14,0.99
YOR394W,14,0.99
YGR218W,14,0.99
YGR261C,14,0.99
YGL014W,14,0.99
YMR234W,14,0.99
YMR185W,14,0.99
YNL186W,14,0.99
YMR093W,14,0.99
YPL030W,14,0.99
YOR101W,14,0.99
YPL183C,14,0.99
YOL041C,14,0.99
YGR116W,14,0.99
YNL245C,14,0.99
YOL130W,14,0.99
YHR066W,14,0.99
YOR020W-A,14,0.99
YDR364C,14,0.99
YNL062C,14,0.99
YLR070C,14,0.99
YGL092W,14,0.99
YCR032W,14,0.99
YML046W,14,0.99
YMR089C,14,0.99
YDR083W,14,0.99
YBR271W,14,0.99
YDL167C,14,0.99
YDR391C,14,0.99
YHR179W,14,0.99
YER133W,14,0.99
YPR190C,14,0.99
YIR026C,14,0.99
YBR093C,14,0.99
YLR063W,14,0.99
YPL212C,14,0.99
YER082C,14,0.99
YLL035W,14,0.99
YOL098C,14,0.99
YGL246C,14,0.99
YDL244W,14,0.99
YPR144C,14,0.99
YLR028C,14,0.99
YOL021C,14,0.99
YDL112W,14,0.99
YCL027W,14,0.99
YGR217W,14,0.99
YHR029C,14,0.99
YIL109C,14,0.99
YPL229W,14,0.99
YNL207W,14,0.99
YDL145C,14,0.99
YKR082W,14,0.99
YDR427W,14,0.99
YJR055W,14,0.99
YBL023C,14,0.99
YKL021C,14,0.99
YJL090C,14,0.99
YFL044C,14,0.99
YBR058C,14,0.99
YHR070W,14,0.99
YDR038C,14,0.99
YMR129W,14,0.99
YFL004W,14,0.99
YPL010W,14,0.99
YLR354C,14,0.99
YKL174C,14,0.99
YPL154C,14,0.99
YCL049C,14,0.99
YMR206W,14,0.99
YBR008C,14,0.99
YDR155C,14,0.99
YIL003W,14,0.99
YAL059W,14,0.99
YCL036W,14,0.99
YPR021C,14,0.99
YER126C,14,0.99
YMR290C,14,0.99
YDR257C,14,0.99
YNL163C,14,0.99
YIL033C,14,0.99
YNR058W,14,0.99
YGL206C,14,0.99
YAR014C,14,0.99
YBL024W,14,0.99
YNR063W,14,0.99
YIL145C,14,0.99
YAL023C,14,0.99
YLR359W,14,0.99
YHR165C,14,0.99
YBR137W,14,0.99
YOR204W,14,0.99
YAL035W,14,1
YHR084W,14,1
YKL145W,14,1
YDL015C,14,1
YMR080C,14,1
YMR308C,14,1
YOR098C,14,1
YOL144W,14,1
YLR195C,14,1
YBR084W,14,1
YOR175C,14,1
YIL088C,14,1
YDR039C,14,1
YNL023C,14,1
YDL137W,14,1
YMR131C,14,1
YCL017C,14,1
YIL014W,14,1
YCL038C,14,1
YLR397C,14,1
YJR132W,14,1
YKR018C,14,1
YOR239W,14,1
YDR361C,14,1
YMR049C,14,1
YLR146C,14,1
YOR099W,14,1
YML099C,14,1
YGL215W,14,1
YKL125W,14,1
YDR179W-A,14,1
YML048W,14,1
YJL167W,14,1
YOR272W,14,1
YPL134C,14,1
YIL111W,14,1
YGR003W,14,1
YLR096W,14,1
YPL101W,14,1
YDR212W,14,1
YOR056C,14,1
YDL100C,14,1
YNL075W,14,1
YDR368W,14,1
YDR365C,14,1
YJR064W,14,1
YGR037C,14,1
YDR091C,14,1
YIR012W,14,1
YJR002W,14,1
YDL060W,14,1
YGL078C,14,1
YNL002C,14,1
YOR071C,14,1
YKL009W,14,1
YKL143W,14,1
YNL087W,14,1
YDL024C,15,0.81
YLR054C,15,0.82
YLR031W,15,0.83
YJL043W,15,0.84
YGL230C,15,0.85
YPL166W,15,0.85
YAR029W,15,0.85
YNL130C-A,15,0.86
YDL049C,15,0.86
YOL016C,15,0.86
YBR203W,15,0.86
YJL082W,15,0.87
YPR200C,15,0.88
YER037W,15,0.89
YDL183C,15,0.89
YGR250C,15,0.89
YNL169C,15,0.89
YLR411W,15,0.9
YNL200C,15,0.9
YDR540C,15,0.91
YDR516C,15,0.91
YBR043C,15,0.91
YGL240W,15,0.91
YMR001C-A,15,0.91
YBR285W,15,0.91
YML003W,15,0.92
YJR008W,15,0.92
YOR237W,15,0.92
YLR258W,15,0.92
YOR344C,15,0.92
YMR174C,15,0.92
YLR423C,15,0.93
YNL187W,15,0.93
YDR354W,15,0.93
YPL264C,15,0.93
YGL249W,15,0.93
YMR184W,15,0.93
YKL138C,15,0.93
YPL110C,15,0.94
YGL196W,15,0.94
YLR356W,15,0.94
YLR352W,15,0.94
YMR016C,15,0.94
YBR029C,15,0.94
YLR032W,15,0.94
YER014C-A,15,0.94
YDR430C,15,0.94
YLR023C,15,0.94
YER175C,15,0.94
YKL201C,15,0.94
YNL137C,15,0.94
YLL040C,15,0.94
YLR047C,15,0.94
YHR054C,15,0.94
YNL130C,15,0.94
YOL045W,15,0.95
YJL091C,15,0.95
YGR198W,15,0.95
YNL125C,15,0.95
YLR329W,15,0.95
YDR237W,15,0.95
YLR299W,15,0.95
YOL163W,15,0.95
YNR026C,15,0.95
YLR087C,15,0.95
YOL107W,15,0.95
YLR226W,15,0.95
YNL128W,15,0.95
YER014W,15,0.95
YBL101C,15,0.95
YNL270C,15,0.95
YJL171C,15,0.95
YNL268W,15,0.95
YGL167C,15,0.95
YJR131W,15,0.95
YGL064C,15,0.96
YOR337W,15,0.96
YLL054C,15,0.96
YAL017W,15,0.96
YOL132W,15,0.96
YGR108W,15,0.96
YDR180W,15,0.96
YOL087C,15,0.96
YGL178W,15,0.96
YKL142W,15,0.96
YLR259C,15,0.96
YDR265W,15,0.96
YPR137W,15,0.96
YJR045C,15,0.96
YNL049C,15,0.96
YGL131C,15,0.96
YLR318W,15,0.96
YMR265C,15,0.96
YMR191W,15,0.96
YJL154C,15,0.96
YJR079W,15,0.96
YLL015W,15,0.96
YBR248C,15,0.96
YPR070W,15,0.96
YIL108W,15,0.96
YOR242C,15,0.96
YKL211C,15,0.96
YOR187W,15,0.96
YDR141C,15,0.96
YEL050C,15,0.96
YFL036W,15,0.96
YLR106C,15,0.96
YOR176W,15,0.96
YDR384C,15,0.96
YJL026W,15,0.96
YJL089W,15,0.96
YBR045C,15,0.96
YER110C,15,0.96
YIL173W,15,0.97
YOR287C,15,0.97
YMR186W,15,0.97
YBR267W,15,0.97
YGR202C,15,0.97
YOL086W-A,15,0.97
YKL057C,15,0.97
YDR457W,15,0.97
YPL118W,15,0.97
YBR002C,15,0.97
YGL224C,15,0.97
YOL027C,15,0.97
YOL010W,15,0.97
YHL042W,15,0.97
YJL222W,15,0.97
YGR061C,15,0.97
YPL195W,15,0.97
YMR109W,15,0.97
YGR271W,15,0.97
YDR434W,15,0.97
YCR093W,15,0.97
YPR001W,15,0.97
YLR371W,15,0.97
YML007W,15,0.97
YEL055C,15,0.97
YNL026W,15,0.97
YGL141W,15,0.97
YDR065W,15,0.97
YKL027W,15,0.97
YPL202C,15,0.97
YNL212W,15,0.97
YER080W,15,0.97
YDR376W,15,0.97
YDR217C,15,0.97
YOL091W,15,0.97
YKL106W,15,0.97
YDR301W,15,0.97
YOR236W,15,0.97
YCL055W,15,0.97
YMR288W,15,0.97
YJL104W,15,0.97
YJL197W,15,0.97
YHR155W,15,0.97
YGR187C,15,0.97
YOL119C,15,0.97
YCR017C,15,0.97
YER155C,15,0.97
YOL057W,15,0.97
YFR021W,15,0.97
YGR057C,15,0.97
YLR342W,15,0.97
YML037C,15,0.97
YPR019W,15,0.98
YER132C,15,0.98
YKL077W,15,0.98
YGL171W,15,0.98
YJL023C,15,0.98
YDL132W,15,0.98
YDR168W,15,0.98
YOR209C,15,0.98
YNR030W,15,0.98
YLR084C,15,0.98
YOR193W,15,0.98
YLR107W,15,0.98
YNL155W,15,0.98
YCR063W,15,0.98
YGR150C,15,0.98
YLR222C,15,0.98
YNR008W,15,0.98
YPR024W,15,0.98
YDL205C,15,0.98
YER060W,15,0.98
YOR274W,15,0.98
YDL185W,15,0.98
YPL106C,15,0.98
YOL042W,15,0.98
YFL059W,15,0.98
YJR040W,15,0.98
YOR387C,15,0.98
YLR398C,15,0.98
YJL006C,15,0.98
YMR268C,15,0.98
YPR072W,15,0.98
YGR191W,15,0.98
YDR198C,15,0.98
YIL143C,15,0.98
YNR064C,15,0.98
YLR430W,15,0.98
YLR292C,15,0.98
YML092C,15,0.98
YDR249C,15,0.98
YOR335C,15,0.98
YNL001W,15,0.98
YHR017W,15,0.98
YKL151C,15,0.98
YJL084C,15,0.98
YCR037C,15,0.98
YHL024W,15,0.98
YML042W,15,0.98
YGR274C,15,0.98
YHR098C,15,0.98
YHR186C,15,0.98
YMR223W,15,0.98
YLR250W,15,0.98
YOR153W,15,0.98
YCR024C-A,15,0.98
YIL073C,15,0.98
YDR395W,15,0.98
YGR280C,15,0.98
YLR067C,15,0.98
YOL033W,15,0.98
YHL027W,15,0.98
YMR214W,15,0.98
YOR198C,15,0.98
YIL149C,15,0.98
YPR108W,15,0.98
YNL172W,15,0.98
YML108W,15,0.98
YIL129C,15,0.98
YER096W,15,0.98
YMR283C,15,0.98
YKL068W,15,0.98
YHR215W,15,0.98
YJR126C,15,0.98
YPR189W,15,0.98
YPR140W,15,0.98
YOR151C,15,0.98
YLR240W,15,0.98
YKL095W,15,0.98
YER180C,15,0.98
YPL268W,15,0.98
YGR231C,15,0.98
YOL078W,15,0.98
