;lm;lp;wRPF;wmRNA;bmEser;amEser;bm;m;bp;cv;apExp;am;isEssential;hasTATA;YEPDFit;pEst
FMT1;3,081347308;2,604226053;0,898725182;1,07114529;-0,030030416;0,69524907;0,621381785;-0,083321415;2,809022283;NA;NA;0,704301506;FALSE;FALSE;-0,034905;2,597209373
RRN6;3,42894429;2,951823035;0,749736316;1,585799009;1,697600585;1,332425765;1,136035504;0,431332303;1,797782716;NA;0,100462772;0,704301506;TRUE;TRUE;0,4200892;2,100623525
ACH1;3,19893187;2,721810615;1,557507202;1,506369717;1,029345714;0,543034739;1,056606212;0,351903012;2,914995315;NA;0,840825461;0,704301506;FALSE;TRUE;-0,02574;3,138406831
FUS3;3,026124517;2,549003262;1,687796411;1,696967641;1,667907592;0,912690412;1,247204136;0,542500935;3,027493954;-0,79209647;-0,014491744;0,704301506;FALSE;TRUE;NA;3,441503394
PEP1;3,675778342;3,198657087;1,849971912;2,083896603;1,458485091;0,648107358;1,634133098;0,929429897;2,153086668;-0,76421913;0,141855457;0,704301506;FALSE;FALSE;-0,015455;2,95402507
POP8;2,678518379;2,127104798;1,952259537;1,979866923;1,77560584;0,555129304;1,530103417;0,825400217;3,430956261;NA;-0,034235802;0,704301506;TRUE;FALSE;0,4200892;4,127864983
APN2;3,193958978;2,716837723;0,800717078;1,072984745;1,039560639;0,893825932;0,623221239;-0,081481961;2,596563055;NA;0,01691672;0,704301506;FALSE;FALSE;0,026755;2,386589599
RFT1;3,236789099;2,759667845;1,323664536;1,725584972;1,20814278;0,632666926;1,275821467;0,571118267;2,424080164;NA;NA;0,704301506;TRUE;FALSE;0,4200892;2,866706935
HAP3;2,638489257;2,161368002;1,771072783;1,616475514;1,465078941;1,109556054;1,166712009;0,462008808;3,578897712;NA;-0,088593465;0,704301506;FALSE;FALSE;0,031715;3,912415025
PIM1;3,531734309;3,054613055;1,9364132;2,197638876;1,485634221;0,522503212;1,74787537;1,04317217;2,269829715;-0,608888386;NA;0,704301506;FALSE;FALSE;0,048825;3,184510389
MCM2;3,416141031;2,939019776;1,583991799;1,657724954;1,477047614;0,694346603;1,207961449;0,503258249;2,572915514;-0,633577043;-0,474444974;0,704301506;TRUE;FALSE;0,4200892;2,947682267
NCL1;3,312811826;2,835690571;2,244376094;2,235073715;1,892869364;0,404935576;1,785310209;1,080607009;2,759280253;-0,821598658;0,062674211;0,704301506;FALSE;FALSE;-0,002775;3,711395767
RRN10;2,641474111;2,164352856;1,574378564;1,460145817;1,442642496;1,117278592;1,010382312;0,305679112;3,535548336;NA;-0,99486511;0,704301506;FALSE;TRUE;NA;3,712735953
LSM2;2,619093331;1,982271233;2,450787792;2,322901222;1,927919526;0,561920621;1,873137717;1,168434516;3,731283782;-0,67685107;0,127615018;0,704301506;TRUE;FALSE;0,4200892;4,771226803
PET9;2,980911938;2,503790683;2,886406114;2,665337042;1,783714093;0,224990028;2,215573537;1,510870337;3,302946834;NA;NA;0,704301506;TRUE;TRUE;-0,008085;4,685325675
SHE1;3,007320953;2,530199698;1,047664195;1,372727941;1,355262657;0,974315102;0,922964436;0,218261235;2,730405001;NA;NA;0,704301506;FALSE;TRUE;0,02923;2,820174741
HEK2;3,059184618;2,582063363;2,287600206;2,268928822;1,547211468;0,187578089;1,819165317;1,114462117;3,022276466;-0,835795901;NA;0,704301506;FALSE;TRUE;-9E-05;4,008247088
RIB1;3,016197354;2,539076099;1,780317312;1,670153045;1,73122617;0,982877375;1,22038954;0,51568634;3,156756613;-0,734946211;NA;0,704301506;FALSE;TRUE;0,246785;3,543951458
STU1;3,65724713;3,180125875;1,091666958;1,464042205;1,378333939;0,771494008;1,0142787;0,3095755;2,033167322;NA;-0,381023289;0,704301506;TRUE;FALSE;0,4200892;2,214251327
POL12;3,325925956;2,848804701;1,430719888;1,568201724;1,535363998;0,917911906;1,118438219;0,413735019;2,599381908;NA;-0,097026632;0,704301506;TRUE;TRUE;0,4200892;2,884625431
APL3;3,488268615;3,011147361;1,301464073;1,566201719;1,232954171;0,93975851;1,116438214;0,411735013;2,309783439;-0,630598586;-0,053121147;0,704301506;FALSE;FALSE;-0,017;2,593026957
MRPL16;2,844477176;2,367355921;1,863798539;1,785970125;1,727564873;1,034711175;1,33620662;0,63150342;3,296140938;NA;-0,821932371;0,704301506;FALSE;FALSE;0,17243;3,799152862
URA7;3,240549248;2,763427994;2,501059262;2,487760371;1,914221683;0,284804588;2,037996866;1,333293666;2,835539342;-0,862171336;-0,97097289;0,704301506;FALSE;FALSE;0,18494;4,040341513
ERD2;2,87909588;2,342422681;2,17719008;2,098297536;1,618160522;0,369589007;1,648534031;0,943830831;3,322138308;NA;-0,363294522;0,704301506;TRUE;FALSE;0,4200892;4,137477644
PRE7;2,860936621;2,383815366;2,596344142;2,459302;1,84919203;0,413808905;2,009538495;1,304835295;3,33889522;NA;NA;0,704301506;TRUE;FALSE;0,4200892;4,51523902
FUI1;3,283301229;2,806179974;1,719165494;1,902764144;1,663235646;0,931748307;1,453000639;0,748297438;2,595889821;-0,65315823;NA;0,704301506;FALSE;TRUE;0,06493;3,215695764
