Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YBR179C;0;NA;"Affinity Capture-Western(16624808);Affinity Capture-Western(19812251);Affinity Capture-Western(21385840)";3;3;0;NA;1
S;YBR182C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR185C;NA;NA;NA;NA;NA;0;NA;0
S;YBR187W;0;NA;NA;NA;NA;0;NA;0
S;YBR188C;0;NA;"Affinity Capture-MS(16554755);Affinity Capture-Western(11842115);Two-hybrid(11102353)";3;0;0;NA;0
S;YBR190W;NA;NA;NA;NA;NA;0;NA;0
S;YBR191W-A;NA;NA;NA;NA;NA;0;NA;0
S;YBR193C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR194W;0;NA;"Affinity Capture-MS(21386897);Affinity Capture-Western(21386897)";2;1;NA;NA;1
S;YBR196C;0;NA;Affinity Capture-MS(22940862);1;1;NA;NA;1
S;YBR196C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR196C-B;0;NA;NA;NA;NA;NA;NA;0
S;YBR200W-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR203W;0;NA;NA;NA;NA;NA;NA;0
S;YBR204C;0;NA;NA;NA;NA;0;NA;0
S;YBR206W;NA;NA;NA;NA;NA;0;NA;0
S;YBR209W;NA;NA;NA;NA;NA;0;NA;0
S;YBR213W;1;NA;PCA(18467557);1;1;NA;NA;1
S;YBR217W;NA;NA;"Affinity Capture-Western(10406794);Two-hybrid(10406794);Two-hybrid(10688190);Two-hybrid(11283351)";4;0;0;NA;0
S;YBR221C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR221W-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR223C;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR224W;NA;NA;NA;NA;NA;0;NA;0
S;YBR225W;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR226C;NA;NA;NA;NA;NA;0;NA;0
S;YBR227C;0;NA;NA;NA;NA;1;NA;1
S;YBR228W;0;NA;NA;NA;NA;0;NA;0
S;YBR229C;0;NA;NA;NA;NA;0;NA;0
