Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,Couple,bm_P1,bm_P2,Delta_bm,LogFold_bm,bp_P1,bp_P2,Delta_bp,LogFold_bp,Crick distance,bp/bm_P1,bp/bm_P2,cv_P1,cv_P2,pEst_P1,pEst_P2,Delta_pEst,LogFold_pEst
WGD,YDR353W,TRR1,YHR106W,Problem,YDR353W-YHR106W,2.268738184,1.038787211,,,3.2999206489999997,2.659427937,,,,,,-0.894149326,,4.735464137,2.865020453,,
WGD,YDR358W,GGA1,YHR108W,Problem,YDR358W-YHR108W,0.967708188,1.800070536,,,2.903005181,2.7711873110000003,,,,,,-0.544393887,-0.784098187,3.0375186739999998,3.738063152,,
WGD,YDR368W,YPR1,YOR120W,Problem,YDR368W-YOR120W,1.796611959,0.946784533,,,3.2598230339999996,2.87053505,,,,,,-0.709075441,,4.223240298,2.9841248869999997,,
SSD,YDR373W,FRQ1,YKL190W,Problem,YDR373W-YKL190W,1.6253818219999998,1.760474731,,,3.324065684,3.435591287,,,,,,-0.601973141,-0.7715996409999999,4.116252811,4.362871322,,
WGD,YDR379W,RGA2,YOR127W,Problem,YDR379W-YOR127W,0.910451108,1.14507085,,,2.2525409219999997,2.085324628,,,,,,,,2.329797335,2.397200783,,
SSD,YDR382W,RPP2B,YOL039W,Problem,YDR382W-YOL039W,3.223613175,3.159775413,,,3.682199757,3.705811962,,,,,,-0.9907616290000001,-0.600845666,6.072618237,6.03239268,,
SSD,YDR399W,HPT1,YJR133W,Problem,YDR399W-YJR133W,2.107189949,1.4687386340000002,,,3.305818064,3.3426827869999998,,,,,,-0.8716007309999999,,4.579813318,3.9782267260000004,,
SSD,YDR404C,RPB7,YKL144C,Problem,YDR404C-YKL144C,1.621049854,1.3259197440000001,,,3.368383518,3.321837188,,,,,,,,4.156238677,3.8145622360000004,,
WGD,YDR406W,PDR15,YOR153W,Problem,YOR153W-YDR406W,1.001408652,2.727423687,,,1.908846249,2.176122931,,,,,,,-0.847405922,2.077060206,4.0703519230000005,,
SSD,YDR435C,PPM1,YOL141W,Problem,YDR435C-YOL141W,1.093807919,0.870174935,,,2.913535092,2.628866306,,,,,,,-0.618884919,3.174148316,2.665846546,,
WGD,YDR441C,APT2,YML022W,Problem,YDR441C-YML022W,1.470359821,2.141334508,,,3.127531502,3.426899932,,,,,,-0.617262734,-0.758453519,3.7646966280000003,4.735039744,,
WGD,YDR453C,TSA2,YML028W,Problem,YDR453C-YML028W,0.995373464,3.043635985,,,3.28286376,3.5374778989999998,,,,,,-0.471468939,-0.90014678,3.445042528,5.747919189,,
WGD,YDR458C,HEH2,YML034W,Problem,YDR458C-YML034W,1.151644555,1.3043553890000001,,,2.554789258,2.4570221969999997,,,,,,,,2.8732391180000003,2.92818289,,
SSD,YDR461W,MFA1,YNL145W,Problem,YDR461W-YNL145W,2.22635371,2.358899763,,,4.544287142,4.436702018,,,,,,-0.558776326,,5.937446157,5.962407085,,
WGD,YDR463W,STP1,YHR006W,Problem,YDR463W-YHR006W,1.3678679619999998,1.094552637,,,2.884223095,2.790369437,,,,,,,,3.418896362,3.0517273780000003,,
WGD,YDR471W,RPL27B,YHR010W,Problem,YDR471W-YHR010W,2.7921986430000003,3.1375657410000004,,,3.594594428,3.592789822,,,,,,-0.907279355,-0.653940567,5.553598375,5.897160867999999,,
SSD,YDR479C,PEX29,YHR150W,Problem,YDR479C-YHR150W,0.961182353,0.7739919479999999,,,2.541019314,2.32683878,,,,,,,,2.669006971,2.267636033,,
WGD,YDR483W,KRE2,YPL053C,Problem,YDR483W-YPL053C,2.020485235,1.55913461,,,2.7699808260000003,2.831772869,,,,,,-0.653353682,-0.624427826,3.957271365,3.557712783,,
WGD,YDR492W,IZH1,YOL101C,Problem,YDR492W-YOL101C,1.155972389,0.8973712779999999,,,3.1716321069999998,3.133747853,,,,,,,,3.4944097999999997,3.197924436,,
WGD,YDR497C,ITR1,YOL103W,Problem,YDR497C-YOL103W,1.9261743130000002,1.52553041,,,2.508378473,2.1273756230000003,,,,,,-0.6973444459999999,,3.6013580910000003,2.8197113380000003,,
WGD,YDR500C,RPL37B,YLR185W,Problem,YDR500C-YLR185W,2.991749393,3.097325384,,,3.83520126,3.8858471260000003,,,,,,-0.931628582,-0.97203914,5.993755957,6.149977814,,
WGD,YDR501W,PLM2,YLR183C,Problem,YDR501W-YLR183C,0.625783456,1.2396341579999999,,,2.779222715,2.8009090580000002,,,,,,,,2.571811476,3.20734852,,
WGD,YDR502C,SAM2,YLR180W,Problem,YDR502C-YLR180W,2.099227488,2.388537651,,,3.146777195,3.14214805,,,,,,-0.669586227,-0.91649738,4.412809988,4.697491005,,
WGD,YDR508C,GNP1,YCL025C,Problem,YCL025C-YDR508C,1.963150421,1.063187575,,,2.6624250330000003,2.692232034,,,,,,-0.923905953,-0.415781888,3.792380758,2.922224913,,
WGD,YDR513W,GRX2,YCL035C,Problem,YCL035C-YDR513W,1.8607811230000002,1.958340722,,,3.677110393,3.902489235,,,,,,-0.57888987,-0.7228493859999999,4.704696821000001,5.0276352619999995,,
SSD,YDR519W,FPR2,YNL135C,Problem,YDR519W-YNL135C,1.7766301580000001,2.634440872,,,3.58141722,3.7469338189999997,,,,,,,-0.90868484,4.524852682,5.548179996,,
SSD,YDR523C,SPS1,YHR102W,Problem,YDR523C-YHR102W,-0.050089784000000005,1.0576875559999999,,,2.0263921480000002,2.261875634,,,,,,,,1.1431076690000002,2.486368495,,
SSD,YDR534C,FIT1,YOR383C,Problem,YDR534C-YOR383C,0.653355748,2.1023691159999998,,,2.878019272,3.5370009710000003,,,,,,,,2.698180325,4.806175392,,
WGD,YEL006W,YEA6,YIL006W,Problem,YEL006W-YIL006W,1.182693787,0.49025465,,,2.707677804,2.615604115,,,,,,,,3.057176895,2.272664069,,
SSD,YEL013W,VAC8,YNL189W,Problem,YEL013W-YNL189W,1.776398018,1.963167203,,,2.626455597,2.936744514,,,,,,-0.7809396679999999,,3.56965892,4.066717022,,
WGD,YEL022W,GEA2,YJR031C,Problem,YEL022W-YJR031C,1.5251164680000002,1.261368567,,,2.057202211,1.992327346,,,,,,-0.74860515,-0.628101305,2.749123983,2.420501218,,
SSD,YEL029C,BUD16,YNR027W,Problem,YEL029C-YNR027W,1.13906822,1.063454095,,,2.806858695,2.883046835,,,,,,,-0.594568258,3.11273222,3.113306235,,
WGD,YEL030W,ECM10,YJR045C,Problem,YEL030W-YJR045C,0.547185743,2.6455244330000003,,,1.723642154,2.898343252,,,,,,,,1.4376332019999998,4.710672989,,
SSD,YEL031W,SPF1,YOR291W,Problem,YEL031W-YOR291W,2.077092482,1.18431052,,,2.268939928,1.9834209390000002,,,,,,-0.940625941,-0.607215142,3.512837714,2.334536764,,
SSD,YEL042W,GDA1,YER005W,Problem,YEL042W-YER005W,1.826192477,1.19575701,,,2.799072048,2.3811667219999997,,,,,,-0.628839744,,3.792069829,2.7437290360000004,,
WGD,YEL047C,FRD1,YJR051W,Problem,YEL047C-YJR051W,1.7491958330000001,1.3527365630000001,,,2.899173691,2.796123176,,,,,,-0.781464495,,3.8151748289999996,3.315665043,,
SSD,YEL066W,HPA3,YPR193C,Problem,YEL066W-YPR193C,1.479450999,0.42933237399999996,,,3.326287163,2.209642917,,,,,,-0.598599459,,3.9725434660000003,1.805780596,,
SSD,YER001W,MNN1,YIL014W,Problem,YIL014W-YER001W,1.432248456,1.206430557,,,2.555851787,2.423470118,,,,,,-0.582611354,,3.1549055480000003,2.796705979,,
SSD,YER020W,GPA2,YHR005C,Problem,YER020W-YHR005C,1.2144082,1.6117643659999998,,,2.851483,2.757925272,,,,,,-0.6361061020000001,-0.842392147,3.232696505,3.536494942,,
WGD,YER027C,GAL83,YGL208W,Problem,YER027C-YGL208W,1.420815955,0.8004124429999999,,,3.1129874319999997,2.9411911230000003,,,,,,-0.670398752,,3.700608692,2.90840887,,
WGD,YER031C,YPT31,YGL210W,Problem,YER031C-YGL210W,1.777119823,1.307632524,,,3.439385838,3.3115814080000003,,,,,,-0.838931615,-0.699621935,4.383310965,3.786019237,,
WGD,YER035W,EDC2,YGL222C,Problem,YER035W-YGL222C,1.170892975,1.132867934,,,3.6661776280000002,3.517192182,,,,,,-0.68877609,-0.6805816109999999,4.003875908,3.816865421,,
WGD,YER037W,PHM8,YGL224C,Problem,YER037W-YGL224C,1.097518803,1.249987526,,,3.031452505,2.9157775889999997,,,,,,,,3.295776612,3.33257042,,
WGD,YER045C,ACA1,YIL036W,Problem,YER045C-YIL036W,0.628693313,1.303666336,,,2.563649746,2.664921269,,,,,,,,2.359148363,3.13539291,,
SSD,YER053C,PIC2,YJR077C,Problem,YER053C-YJR077C,1.057417472,1.939065649,,,3.013890944,3.1423646880000002,,,,,,,-0.708853238,3.23811372,4.248235641,,
WGD,YER054C,GIP2,YIL045W,Problem,YER054C-YIL045W,0.11608431300000001,0.564757034,,,2.4386107740000003,2.8191075160000003,,,,,,,,1.7215003919999998,2.550669854,,
WGD,YER057C,HMF1,YIL051C,Problem,YER057C-YIL051C,1.989079344,2.667547571,,,3.675860885,3.681771411,,,,,,,-0.668876512,4.8317455339999995,5.516124287,,
WGD,YER059W,PCL6,YIL050W,Problem,YER059W-YIL050W,1.106176933,1.207483625,,,2.8864583319999997,3.0230170339999995,,,,,,-0.6093297870000001,,3.1594405689999996,3.397305963,,
WGD,YER062C,GPP2,YIL053W,Problem,YER062C-YIL053W,1.813801556,2.887751662,,,3.3130468769999997,3.3310873389999998,,,,,,-0.487515724,-0.766115891,4.293653737,5.385644305,,
WGD,YER064C,VHR2,YIL056W,Problem,YER064C-YIL056W,1.6366319219999999,1.014726042,,,2.8530167210000004,2.478971084,,,,,,,,3.6564539469999997,2.660502431,,
SSD,YER065C,ICL1,YPR006C,Problem,YER065C-YPR006C,0.469837519,0.777094065,,,1.892561076,2.59708355,,,,,,,,1.529203899,2.540982919,,
WGD,YER070W,RNR1,YIL066C,Problem,YER070W-YIL066C,2.094428606,0.38274540700000004,,,2.504328923,2.381842004,,,,,,-0.44922148100000003,,3.765562833,1.931392716,,
WGD,YER081W,SER3,YIL074C,Problem,YER081W-YIL074C,1.098748751,1.680055239,,,2.4080274040000003,2.9142464319999997,,,,,,,-0.759700418,2.67358146,3.761106975,,
WGD,YER101C,AST2,YBL069W,Problem,YBL069W-YER101C,0.729500959,1.200932475,,,3.001864396,3.0059977069999997,,,,,,,,2.89817066,3.373735486,,
SSD,YER107C,GLE2,YOR026W,Problem,YER107C-YOR026W,1.401861698,1.059842199,,,3.001599642,2.620130785,,,,,,-0.617532678,,3.570266645,2.846778289,,
WGD,YER132C,PMD1,YGL197W,Problem,YER132C-YGL197W,1.116791826,1.31702101,,,1.548138218,1.8762186840000001,,,,,,-0.609771638,,1.8317353490000001,2.360044999,,
SSD,YER136W,GDI1,YOR370C,Problem,YER136W-YOR370C,1.924416404,1.64728546,,,2.976949383,2.425003378,,,,,,-0.846642529,-0.7190803370000001,4.068171092,3.239094142,,
SSD,YER159C,BUR6,YOR358W,Problem,YER159C-YOR358W,1.432476343,0.871420522,,,3.5973493569999997,3.105220231,,,,,,-0.7458145909999999,,4.196631003999999,3.1434460580000003,,
SSD,YER167W,BCK2,YOR359W,Problem,YER167W-YOR359W,1.10132036,1.02079398,,,2.256739063,2.7661076810000003,,,,,,,-0.68697689,2.5248647269999998,2.953706965,,
SSD,YER171W,RAD3,YPL008W,Problem,YER171W-YPL008W,1.190220743,0.856232378,,,2.432726315,1.999303731,,,,,,,,2.7897523630000003,2.022341413,,
WGD,YER174C,GRX4,YDR098C,Problem,YDR098C-YER174C,1.3262108259999998,1.77737732,,,3.1178445710000005,3.336091352,,,,,,,-0.616184634,3.610860702,4.280273977,,
WGD,YFL004W,VTC2,YPL019C,Problem,YFL004W-YPL019C,2.0074369080000003,2.322161874,,,2.530392135,2.522320497,,,,,,-0.694541145,,3.704634347,4.011287675,,
WGD,YFL048C,EMP47,YLR080W,Problem,YFL048C-YLR080W,1.732907881,0.407568991,,,2.905062698,3.022480044,,,,,,-0.733533105,,3.8047758839999997,2.59685434,,
WGD,YFR013W,IOC3,YOL017W,Problem,YFR013W-YOL017W,1.2144082,0.7935226409999999,,,2.39916878,2.581147564,,,,,,-0.649848933,,2.780382285,2.541475509,,
WGD,YFR015C,GSY1,YLR258W,Problem,YFR015C-YLR258W,0.9388704640000001,1.4843813069999998,,,2.56017154,2.57054243,,,,,,-0.534319788,-0.44873303,2.665847308,3.221729041,,
WGD,YFR022W,ROG3,YOR018W,Problem,YFR022W-YOR018W,0.6737614759999999,0.949044225,,,1.944752267,2.461998826,,,,,,,-0.614393726,1.7853190469999998,2.577848356,,
WGD,YFR023W,PES4,YHR015W,Problem,YFR023W-YHR015W,-0.5003734989999999,0.286632997,,,2.482995472,2.549556001,,,,,,,,1.1494272779999999,2.002994303,,
WGD,YFR039C,OSW7,YGL228W,Problem,YFR039C-YGL228W,1.2532698,1.682015504,,,2.6223019069999998,2.7150081810000004,,,,,,,,3.042377011,3.56382899,,
WGD,YFR040W,SAP155,YGL229C,Problem,YFR040W-YGL229C,1.3476425440000002,0.8810559609999999,,,2.2663928,1.961701132,,,,,,-0.723193654,-0.570732334,2.7808406480000003,2.009562398,,
WGD,YFR053C,HXK1,YGL253W,Problem,YFR053C-YGL253W,2.040883116,2.778826752,,,3.092359659,2.9793879760000004,,,,,,-0.646083769,-0.8695054109999999,4.30004808,4.925020032,,
SSD,YGL006W,PMC1,YGL167C,Problem,YGL006W-YGL167C,1.246767615,1.750621819,,,2.051957094,2.299531151,,,,,,,-0.878768545,2.465530014,3.2169582739999996,,
SSD,YGL012W,ERG4,YNL280C,Problem,YGL012W-YNL280C,2.124371981,1.712442326,,,2.8004229730000003,2.800446731,,,,,,-0.790887296,,4.091600258,3.6796943619999998,,
WGD,YGL013C,PDR1,YBL005W,Problem,YBL005W-YGL013C,1.2929616259999999,1.0280809709999998,,,2.093860589,2.044271852,,,,,,,,2.553627519,2.239158127,,
SSD,YGL019W,CKB1,YOR039W,Problem,YGL019W-YOR039W,1.6568353080000002,1.643623155,,,3.1234764530000003,3.142953028,,,,,,-0.694433686,-0.75325529,3.947117065,3.9533814869999997,,
SSD,YGL038C,OCH1,YJR075W,Problem,YGL038C-YJR075W,1.222888418,1.747075641,,,2.78207739,2.895003638,,,,,,-0.6303204000000001,-0.633483656,3.171771112,3.808884583,,
WGD,YGL049C,TIF4632,YGR162W,Problem,YGL049C-YGR162W,1.4612342109999998,2.157348236,,,2.57196725,2.494647235,,,,,,-0.802306025,-0.90274269,3.200006765,3.8188007760000002,,
SSD,YGL059W,PKP2,YIL042C,Problem,YGL059W-YIL042C,0.715480821,0.823006081,,,2.465651659,2.6441851730000003,,,,,,,,2.347937784,2.633996559,,
WGD,YGL063W,PUS2,YPL212C,Problem,YGL063W-YPL212C,0.6869570620000001,1.5389291969999999,,,2.3927915680000003,2.79699244,,,,,,,-0.6917558229999999,2.246553935,3.502726942,,
SSD,YGL065C,ALG2,YNL048W,Problem,YGL065C-YNL048W,1.301900441,1.265487524,,,2.7914901619999997,2.630119654,,,,,,-0.597824625,-0.610302452,3.260195908,3.062412482,,
WGD,YGL071W,AFT1,YPL202C,Problem,YGL071W-YPL202C,1.241052553,1.087173517,,,2.369873568,2.8652349989999997,,,,,,,,2.777731425,3.119213821,,
WGD,YGL084C,GUP1,YPL189W,Problem,YGL084C-YPL189W,1.456032375,-0.010430811,,,2.679330326,2.146335751,,,,,,-0.677470606,,3.302168006,1.302710244,,
SSD,YGL091C,NBP35,YIL003W,Problem,YGL091C-YIL003W,1.1720357190000001,1.054163299,,,3.0948381019999998,2.9826101680000003,,,,,,,,3.433679125,3.203578771,,
SSD,YGL094C,PAN2,YOL080C,Problem,YGL094C-YOL080C,1.29091492,1.216005046,,,1.90010244,3.09459117,,,,,,,,2.357822665,3.47740152,,
SSD,YGL125W,MET13,YPL023C,Problem,YGL125W-YPL023C,1.133548647,1.334354311,,,2.587657454,2.6635695719999997,,,,,,,,2.888011405,3.164729188,,
WGD,YGL134W,PCL10,YPL219W,Problem,YGL134W-YPL219W,0.95025613,0.831497182,,,2.36572445,2.752383019,,,,,,,,2.482785884,2.750685505,,
WGD,YGL139W,FLC3,YPL221W,Problem,YGL139W-YPL221W,1.380311661,1.458667894,,,2.376570258,2.241906091,,,,,,-0.547523539,-0.7509239959999999,2.9236872239999996,2.8673792889999996,,
SSD,YGL160W,AIM14,YLR047C,Problem,YGL160W-YLR047C,1.161322228,0.978857167,,,2.559578939,2.138316929,,,,,,,,2.887706472,2.283979401,,
WGD,YGL162W,SUT1,YPR009W,Problem,YGL162W-YPR009W,0.900290588,1.152622085,,,2.834769352,2.645197533,,,,,,,,2.901865245,2.964624922,,
WGD,YGL166W,CUP2,YPR008W,Problem,YGL166W-YPR008W,1.042437946,1.1285318000000002,,,3.1666823410000005,2.502248156,,,,,,,-0.624062181,3.3759255919999998,2.797585261,,
WGD,YGL209W,MIG2,YER028C,Problem,YER028C-YGL209W,1.0684871459999998,0.9068359309999999,,,3.059060215,2.710203093,,,,,,,,3.294352665,2.7838443280000003,,
SSD,YGL247W,BRR6,YHR036W,Problem,YGL247W-YHR036W,1.0684871459999998,0.969034785,,,2.91314207,2.8046820169999997,,,,,,,,3.14843452,2.940522107,,
SSD,YGL255W,ZRT1,YLR130C,Problem,YGL255W-YLR130C,0.731508266,1.362882511,,,2.81661428,2.464118558,,,,,,,-0.5017583870000001,2.714927851,2.993806373,,
SSD,YGL257C,MNT2,YNR059W,Problem,YGL257C-YNR059W,1.285995032,0.69636453,,,2.3207709530000002,2.069815958,,,,,,,,2.77357129,1.932985793,,
WGD,YGR004W,PEX31,YLR324W,Problem,YGR004W-YLR324W,1.016955866,1.240698388,,,2.737347367,2.73048555,,,,,,,-0.567591969,2.921108538,3.1379892430000003,,
SSD,YGR007W,ECT1,YGR202C,Problem,YGR007W-YGR202C,1.519885335,1.173692543,,,2.844255153,2.9994044580000003,,,,,,,-0.696156225,3.5309457930000003,3.339902305,,
WGD,YGR008C,STF2,YLR327C,Problem,YGR008C-YLR327C,1.642325234,1.188625902,,,4.052697396,4.142446777,,,,,,-0.531726535,-0.560904259,4.861827934,4.497877984,,
SSD,YGR009C,SEC9,YMR017W,Problem,YGR009C-YMR017W,1.275085582,-0.242937629,,,2.837489957,2.9219742969999998,,,,,,,,3.279380844,1.8458419719999999,,
WGD,YGR010W,NMA2,YLR328W,Problem,YGR010W-YLR328W,1.0471661429999999,1.4761670930000002,,,2.815120191,2.903947249,,,,,,,-0.712870379,3.029091638,3.5469196469999997,,
WGD,YGR023W,MTL1,YLR332W,Problem,YGR023W-YLR332W,0.518252209,1.312539858,,,2.454352863,2.9718728189999997,,,,,,,-0.820304617,2.139410377,3.4512179819999997,,
WGD,YGR027C,RPS25A,YLR333C,Problem,YGR027C-YLR333C,3.279017867,2.899101879,,,3.707080126,3.753780916,,,,,,-0.874681422,-0.775466937,6.152903297000001,5.8196880989999995,,
SSD,YGR029W,ERV1,YPR037C,Problem,YGR029W-YPR037C,1.368990085,1.421342196,,,3.257243041,3.275615674,,,,,,,,3.79303843,3.863763174,,
WGD,YGR038W,ORM1,YLR350W,Problem,YGR038W-YLR350W,1.387319646,1.3178375629999999,,,3.338800156,3.498223191,,,,,,-0.668673949,-0.6889882509999999,3.8929251060000003,3.982866058,,
WGD,YGR041W,BUD9,YLR353W,Problem,YGR041W-YLR353W,1.30504335,0.964373857,,,2.47786599,2.252625524,,,,,,,,2.949714645,2.383804685,,
WGD,YGR043C,NQM1,YLR354C,Problem,YGR043C-YLR354C,0.565176845,2.544654839,,,2.808909467,3.1846021089999996,,,,,,,-0.759825305,2.540891616,4.896062252,,
WGD,YGR049W,SCM4,YLR356W,Problem,YGR049W-YLR356W,1.166396808,1.0684871459999998,,,3.4667172539999997,3.332688367,,,,,,,,3.799919366,3.567980817,,
SSD,YGR055W,MUP1,YHL036W,Problem,YGR055W-YHL036W,1.9074850719999998,0.5467481670000001,,,2.749171032,2.319516777,,,,,,-0.7279262120000001,,3.823461408,2.033070248,,
WGD,YGR056W,RSC1,YLR357W,Problem,YGR056W-YLR357W,1.063720451,1.22893693,,,2.428657008,2.487777702,,,,,,,-0.633577043,2.659182764,2.8835199360000003,,
WGD,YGR070W,ROM1,YLR371W,Problem,YGR070W-YLR371W,0.70221889,1.213183109,,,1.5748481980000002,1.9185412519999998,,,,,,,,1.4438723930000001,2.298529665,,
WGD,YGR071C,ENV11,YLR373C,Problem,YGR071C-YLR373C,0.864103715,1.043415615,,,2.265705763,2.332074545,,,,,,,-0.626536278,2.2966147830000003,2.542295464,,
SSD,YGR081C,SLX9,YLR051C,Problem,YLR051C-YGR081C,1.4170552980000002,1.404177941,,,3.355275738,3.441440304,,,,,,-0.7196493070000001,-0.679645967,3.939136341,4.012423549,,
SSD,YGR086C,PIL1,YPL004C,Problem,YGR086C-YPL004C,2.39814215,2.075436842,,,3.107213308,3.1808303330000003,,,,,,-0.720333056,,4.672160763,4.423072479,,
WGD,YGR092W,DBF2,YPR111W,Problem,YGR092W-YPR111W,1.216567239,0.942757585,,,2.7708841810000004,2.596131136,,,,,,-0.688670048,,3.154256725,2.705694025,,
WGD,YGR097W,ASK10,YPR115W,Problem,YGR097W-YPR115W,1.0894380940000001,1.2514589790000001,,,2.110428409,1.842852909,,,,,,,,2.366671807,2.261117193,,
WGD,YGR108W,CLB1,YPR119W,Problem,YGR108W-YPR119W,1.3445850990000001,1.391971274,,,2.602389057,2.729210409,,,,,,,,3.11377946,3.287986987,,
WGD,YGR109C,CLB6,YPR120C,Problem,YGR109C-YPR120C,0.79919011,1.031965692,,,2.972483453,2.768512225,,,,,,,,2.9384788680000002,2.967283221,,
WGD,YGR131W,FHN1,YPR149W,Problem,YGR131W-YPR149W,0.44896167600000003,2.406028135,,,3.04050231,3.4953312469999998,,,,,,,-0.82087927,2.656269291,5.068164686,,
SSD,YGR132C,PHB1,YGR231C,Problem,YGR132C-YGR231C,1.8503970319999998,1.872848545,,,3.1102301889999997,2.9832023989999996,,,,,,,,4.127432525,4.022856248,,
WGD,YGR141W,VPS62,YPR157W,Problem,YGR141W-YPR157W,0.99459362,0.35095357299999996,,,3.0088845610000003,2.40917174,,,,,,,,3.170283486,1.9269306169999998,,
WGD,YGR142W,BTN2,YPR158W,Problem,YGR142W-YPR158W,1.189424055,1.19888919,,,2.8288766080000003,3.0702011010000003,,,,,,,,3.1851059680000002,3.435895595,,
WGD,YGR143W,SKN1,YPR159W,Problem,YGR143W-YPR159W,1.130477003,1.72406353,,,2.367253598,2.619635204,,,,,,,,2.664535905,3.5105040389999997,,
SSD,YGR163W,GTR2,YML121W,Problem,YGR163W-YML121W,1.225464748,1.290046094,,,3.06776085,2.940472629,,,,,,-0.640923774,-0.632457726,3.4600309019999997,3.397324027,,
SSD,YGR171C,MSM1,YGR264C,Problem,YGR171C-YGR264C,0.862836934,2.1642367890000003,,,2.457128194,2.626724805,,,,,,,-0.9013562740000001,2.4867704330000002,3.9577668989999997,,
SSD,YGR177C,ATF2,YOR377W,Problem,YGR177C-YOR377W,1.2713873390000001,1.139180138,,,2.743557819,2.5503586769999997,,,,,,-0.532022125,,3.1817504619999997,2.8563441189999996,,
WGD,YGR180C,RNR4,YJL026W,Problem,YGR180C-YJL026W,2.38737652,2.181690411,,,3.213313357,3.1024314530000003,,,,,,-0.90868484,-0.942333896,4.767495181,4.450927168,,
SSD,YGR184C,UBR1,YLR024C,Problem,YGR184C-YLR024C,1.546134818,1.093932127,,,1.816048226,1.670893357,,,,,,,,2.528988349,1.931630788,,
WGD,YGR188C,BUB1,YJL013C,Problem,YGR188C-YJL013C,0.73036237,0.868925765,,,2.019340964,2.424733379,,,,,,,,1.9165086390000001,2.460464448,,
SSD,YGR203W,YCH1,YPR200C,Problem,YGR203W-YPR200C,1.1792381140000001,0.719322852,,,3.484703042,2.686700618,,,,,,-0.656492938,,3.83074646,2.572828775,,
WGD,YGR209C,TRX2,YLR043C,Problem,YGR209C-YLR043C,2.463090662,2.483313591,,,3.804781045,3.7225048089999997,,,,,,-0.7444862870000001,-0.813043665,5.434677011000001,5.372623704,,
WGD,YGR221C,TOS2,YHR149C,Problem,YGR221C-YHR149C,0.711005057,1.233373626,,,2.215872566,2.5567275069999997,,,,,,,-0.691649051,2.0936829269999997,2.9569064380000003,,
WGD,YGR230W,BNS1,YHR152W,Problem,YGR230W-YHR152W,0.897956712,1.466690443,,,3.5011896630000003,3.530412322,,,,,,,,3.565951679,4.16390807,,
WGD,YGR238C,KEL2,YHR158C,Problem,YGR238C-YHR158C,0.840938738,1.274676218,,,2.025699108,2.340704553,,,,,,,-0.647624505,2.03344315,2.7821860760000003,,
SSD,YGR240C,PFK1,YMR205C,Problem,YGR240C-YMR205C,2.583310261,2.561455809,,,2.63277845,2.5922647480000003,,,,,,-0.8885694479999999,-0.868060705,4.382894016,4.320525861,,
WGD,YGR241C,YAP1802,YHR161C,Problem,YGR241C-YHR161C,1.25882734,1.0894380940000001,,,2.642841715,2.58878095,,,,,,-0.712646227,,3.06847436,2.8450243489999996,,
SSD,YGR246C,BRF1,YPR086W,Problem,YGR246C-YPR086W,1.162596443,1.5376793,,,2.732501651,2.968545087,,,,,,,-0.6644418120000001,3.061903398,3.6730296910000004,,
WGD,YGR248W,SOL4,YHR163W,Problem,YGR248W-YHR163W,0.727772995,1.906070991,,,3.264001136,3.029119347,,,,,,,-0.5928641379999999,3.158579435,4.101995641999999,,
WGD,YGR256W,GND2,YHR183W,Problem,YGR256W-YHR183W,0.173485785,2.51010274,,,2.7334652239999997,3.0350070380000003,,,,,,,-0.7595755670000001,2.073756314,4.711915082,,
SSD,YGR258C,RAD2,YKL113C,Problem,YGR258C-YKL113C,0.890878872,1.439874295,,,2.205858063,2.920366899,,,,,,,-0.5870357279999999,2.26354224,3.5270464980000003,,
SSD,YGR276C,RNH70,YLR107W,Problem,YGR276C-YLR107W,1.241583259,1.073722827,,,2.7564401380000003,2.723305061,,,,,,,,3.164828702,2.963833193,,
WGD,YGR279C,SCW4,YMR305C,Problem,YGR279C-YMR305C,2.393332171,2.039407189,,,3.218105066,3.056517009,,,,,,-0.659754238,,4.778242542,4.262729502,,
WGD,YHL003C,LAG1,YKL008C,Problem,YHL003C-YKL008C,1.6996403740000001,1.690084109,,,2.891663868,2.923460027,,,,,,,-0.695509472,3.758109546,3.7803494410000003,,
WGD,YHL035C,VMR1,YLL048C,Problem,YHL035C-YLL048C,1.201126573,1.763116287,,,1.270381686,1.92094368,,,,,,,-0.716585688,1.6383135640000002,2.850865272,,
WGD,YHR001W,OSH7,YKR003W,Problem,YHR001W-YKR003W,1.424660325,1.553438441,,,2.935998751,2.684644947,,,,,,,-0.692290077,3.527464381,3.404888693,,
WGD,YHR003C,TCD1,YKL027W,Problem,YHR003C-YKL027W,1.304508363,1.216286233,,,2.7991186530000003,2.855939422,,,,,,-0.647046088,-0.722276211,3.2704323210000004,3.23903096,,
WGD,YHR021C,RPS27B,YKL156W,Problem,YHR021C-YKL156W,3.018446425,2.590490627,,,3.964052702,3.9615794280000003,,,,,,-0.96197626,-0.8892419909999999,6.149304431,5.71887536,,
SSD,YHR028C,DAP2,YOR219C,Problem,YHR028C-YOR219C,1.576074659,1.065712936,,,2.365214114,2.292506485,,,,,,,,3.108094078,2.525024725,,
SSD,YHR031C,RRM3,YML061C,Problem,YHR031C-YML061C,0.9696965679999999,1.020940925,,,2.3580081969999998,2.33822445,,,,,,,,2.494510069,2.5259706790000003,,
SSD,YHR035W,NEL1,YPR181C,Problem,YHR035W-YPR181C,0.235081856,2.032838559,,,2.486399998,2.640205604,,,,,,,,1.888287159,3.839849468,,
