Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,Couple,bm_P1,bm_P2,Delta_bm,LogFold_bm,bp_P1,bp_P2,Delta_bp,LogFold_bp,Crick distance,bp/bm_P1,bp/bm_P2,cv_P1,cv_P2,pEst_P1,pEst_P2,Delta_pEst,LogFold_pEst
WGD,YCR069W,CPR4,YNR028W,Problem,YCR069W-YNR028W,1.5378580769999999,1.347088244,,,2.988683018,3.019926518,,,,,,,-0.6733569640000001,3.6933463989999997,3.5338200669999997,,
WGD,YCR073C,SSK22,YNR031C,Problem,YCR073C-YNR031C,0.630140962,1.219739329,,,1.6972300980000001,1.769046914,,,,,,,,1.494176365,2.1555915480000003,,
WGD,YCR091W,KIN82,YNR047W,Problem,YCR091W-YNR047W,0.5054430320000001,1.292804529,,,2.443699485,2.231611675,,,,,,,-0.657084083,2.115947822,2.6912215089999996,,
SSD,YCR105W,ADH7,YMR318C,Problem,YCR105W-YMR318C,-0.060597421,2.060231587,,,2.940989848,3.148909207,,,,,,,-0.652962866,2.047197731,4.375946099,,
SSD,YDL007W,RPT2,YDR394W,Problem,YDL007W-YDR394W,1.83358296,1.813375266,,,3.088382663,2.993765109,,,,,,,-0.6493643920000001,4.088770928,3.973945679,,
WGD,YDL021W,GPM2,YOL056W,Problem,YDL021W-YOL056W,0.916846205,1.1482605670000001,,,3.057342601,3.165256805,,,,,,,-0.7000571,3.14099411,3.480322676,,
WGD,YDL022W,GPD1,YOL059W,Problem,YDL022W-YOL059W,1.921766127,1.819515885,,,3.212696157,2.977323334,,,,,,-0.66274046,-0.8106500759999999,4.301267589,3.963644523,,
WGD,YDL036C,PUS9,YOL066C,Problem,YDL036C-YOL066C,1.07189751,1.056200013,,,2.629130753,2.615734169,,,,,,,,2.867833567,2.838739486,,
WGD,YDL048C,STP4,YLR375W,Problem,YDL048C-YLR375W,0.082990874,1.304737724,,,2.706224848,2.67155053,,,,,,,,1.956021026,3.143093559,,
SSD,YDL049C,KNH1,YJL174W,Problem,YDL049C-YJL174W,0.319613821,1.800997943,,,2.9102853060000005,3.2420737969999998,,,,,,,,2.396704431,4.209877045,,
SSD,YDL055C,PSA1,YDR211W,Problem,YDL055C-YDR211W,2.812606888,1.7387431290000002,,,3.1389051489999997,2.523301874,,,,,,,-0.807571945,5.118317342,3.428850307,,
SSD,YDL059C,RAD59,YML032C,Problem,YDL059C-YML032C,0.7521795579999999,1.296870694,,,3.1196047769999997,2.562684681,,,,,,,,3.03858964,3.02636068,,
WGD,YDL070W,BDF2,YLR399C,Problem,YDL070W-YLR399C,1.679313819,1.774303159,,,2.450981947,2.5453377219999997,,,,,,-0.6779875609999999,-0.780546463,3.297101071,3.4864461860000002,,
WGD,YDL075W,RPL31A,YLR406C,Problem,YDL075W-YLR406C,3.164039218,2.642261993,,,3.7308247339999996,3.735038677,,,,,,,-0.887562583,6.061669256,5.544105975,,
WGD,YDL079C,MRK1,YMR139W,Problem,YDL079C-YMR139W,0.18572024199999998,1.1751370970000001,,,2.0053558369999998,2.906605238,,,,,,,,1.357881383,3.248547639,,
SSD,YDL081C,RPP1A,YDL130W,Problem,YDL081C-YDL130W,3.128766831,3.100117273,,,3.690081559,3.6513641060000004,,,,,,-0.916676582,-0.943476276,5.985653694,5.918286684,,
WGD,YDL085W,NDE2,YMR145C,Problem,YDL085W-YMR145C,-0.34939296,1.760126663,,,2.511533251,2.7430577730000003,,,,,,,-0.600153287,1.328945595,3.669989741,,
WGD,YDL088C,ASM4,YMR153W,Problem,YDL088C-YMR153W,1.291309267,1.276637657,,,2.643844993,2.976566437,,,,,,-0.64694976,-0.660151217,3.101959565,3.420009398,,
SSD,YDL104C,QRI7,YKR038C,Problem,YDL104C-YKR038C,0.49619719799999995,1.4914496819999998,,,2.8615564910000004,2.765250173,,,,,,,-0.7283906990000001,2.524558994,3.42350516,,
SSD,YDL113C,ATG20,YDR425W,Problem,YDL113C-YDR425W,1.062520558,0.774769557,,,2.48663444,2.68513498,,,,,,,,2.715960303,2.626709842,,
SSD,YDL123W,SNA4,YDR276C,Problem,YDR276C-YDL123W,0.988303945,2.3764473980000003,,,3.5240744060000004,4.09470763,,,,,,-0.730837435,,3.679183656,5.637960333,,
SSD,YDL125C,HNT1,YDR305C,Problem,YDL125C-YDR305C,2.1752915859999997,1.1822886609999999,,,3.554658257,3.182539092,,,,,,-0.833717933,,4.8967551480000004,3.531633058,,
WGD,YDL127W,PCL2,YDL179W,Problem,YDL179W-YDL127W,1.111695666,1.103876831,,,2.945365213,3.060546028,,,,,,,,3.223866183,3.3312281639999997,,
SSD,YDL128W,VCX1,YNL321W,Problem,YDL128W-YNL321W,1.61345723,1.223257402,,,2.889142611,2.319009688,,,,,,-0.661543506,,3.669405145,2.709072395,,
WGD,YDL138W,RGT2,YDL194W,Problem,YDL194W-YDL138W,0.7895359740000001,0.590443122,,,1.933097623,2.025029808,,,,,,,,1.889438902,1.782278235,,
WGD,YDL155W,CLB3,YLR210W,Problem,YDL155W-YLR210W,1.318652583,0.987828527,,,2.6488052000000004,2.768806221,,,,,,,,3.134263087,2.923440053,,
WGD,YDL161W,ENT1,YLR206W,Problem,YDL161W-YLR206W,1.306263708,1.5437168140000002,,,3.081132377,2.669715815,,,,,,-0.716133652,-0.701256057,3.5542013889999997,3.380237933,,
SSD,YDL164C,CDC9,YOR005C,Problem,YDL164C-YOR005C,1.151100531,0.5618069379999999,,,2.6022430080000003,2.23914763,,,,,,,,2.920148844,1.967759873,,
SSD,YDL171C,GLT1,YDR376W,Problem,YDL171C-YDR376W,1.952222594,1.186924943,,,1.96719698,2.6882223389999997,,,,,,-0.723883011,,3.0862248780000003,3.0419525860000003,,
WGD,YDL175C,AIR2,YIL079C,Problem,YIL079C-YDL175C,1.013233107,1.243523652,,,3.0509786080000003,2.919092198,,,,,,,,3.23101702,3.329421155,,
SSD,YDL185W,VMA1,YDL227C,Problem,YDL185W-YDL227C,2.583072751,1.540397688,,,2.554110502,2.789664521,,,,,,-0.920456993,,4.303988558,3.496867513,,
