Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
No Cost,0.2,9.0,0,0,Bm9_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3471824051268803,2.0354590086132633e-42,-0.0961709621969565,1.372422163100301e-09,0.6113409300996163,1.2047724622110337e-149
ADS,0.2,9.0,0,0,Bm9_iter3,20_percent,Mut_SD_SSD,All,0.809855157142794,0.0,0.3799312627095387,1.9196763857079717e-171,0.9018481266317004,0.0
ADS,0.2,9.0,0,0,Bm9_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3851860979551396,4.415628321723102e-55,-0.0711958645715798,6.165173172780374e-06,0.5865553853011197,1.5199938096984642e-141
Minimal,0.2,9.0,0,0,Bm9_iter3,20_percent,Mut_SD_SSD,All,0.8029282354765177,0.0,0.3891865834550423,1.607230668327243e-180,0.9100846399495426,0.0
Minimal,0.2,9.0,0,0,Bm9_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3717241028657396,4.203194557952865e-51,-0.0553642502989963,0.0004427465449832,0.6324728046025385,6.044137318131522e-171
Mixed,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,All,0.7901458418793349,0.0,0.437312022675726,1.1227398236636591e-232,0.927071487083438,0.0
Mixed,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,True duplicates,0.160232846144816,4.837406628136743e-10,-0.0439121355328921,0.00552121855595,0.9133138753041008,0.0
No Cost,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,All,0.8575870776299325,0.0,0.4435061986562228,4.987103609043298e-240,0.8460547347927577,0.0
No Cost,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,True duplicates,0.382025655405739,2.3581909733388876e-50,-0.1031195230863049,1.0026931253028432e-10,0.3258758907525679,2.4474587748984325e-36
ADS,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,All,0.83794474872716,0.0,0.4150274104877434,1.8494796591554998e-207,0.7518365035258406,0.0
ADS,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,True duplicates,0.4065909950742321,6.993431493740362e-61,-0.0856893128717074,5.6633560813863813e-08,0.2313944478687453,1.0472045089790433e-19
