Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm8,iter2,0,0.16849981905455402,3.321679101814035e-14,0.2577127289281822,1.0489809628510563e-31
ADS,Bm8,iter3,0,0.1186426680335803,1.0300087910631612e-07,0.18861242615310653,1.7974956843281934e-17
ADS,Bm9,iter1,0,0.16718013080610888,5.277506459571262e-14,0.24315785178946292,2.632484186304285e-28
ADS,Bm9,iter2,0,0.19401102137022438,2.0534209631798167e-18,0.26977153494288375,1.083998928818631e-34
ADS,Bm9,iter3,0,0.13286220465907905,2.4534872656637815e-09,0.21924235281058818,3.4209386589718534e-23
ADS,Bm05,iter1,-0.01,0.16449171800136025,1.3397840933746846e-13,0.23677142019285502,6.96301945810793e-27
ADS,Bm05,iter2,-0.01,0.17687064902210003,1.6146298268816579e-15,0.2490731947682987,1.162379346392231e-29
ADS,Bm05,iter3,-0.01,0.1512473827345654,1.0541604007641853e-11,0.2144872916218229,3.036957132126354e-22
ADS,Bm10,iter1,-0.01,0.1741845621052774,4.331514647794618e-15,0.25184899046224757,2.6119627647705925e-30
ADS,Bm10,iter2,-0.01,0.22361598347223827,4.38590081041271e-24,0.3032677673169418,8.11149745130452e-44
ADS,Bm10,iter3,-0.01,0.14637682977540498,4.7831006809613613e-11,0.2254676528669132,1.8138888405445564e-24
ADS,Bm1,iter1,-0.01,0.15893413796898875,8.754556045219261e-13,0.26352440238110064,3.991700028989388e-33
ADS,Bm1,iter2,-0.01,0.15315911840100704,5.743743552521551e-12,0.24577334544333637,6.69435375359771e-29
ADS,Bm1,iter3,-0.01,0.1706886016645239,1.5285922747132693e-14,0.2260105435026359,1.3980907684061889e-24
ADS,Bm2,iter1,-0.01,0.14055327256795933,2.7338377552774087e-10,0.2293693848423462,2.750108606613432e-25
ADS,Bm2,iter2,-0.01,0.1930649861371521,3.0172012997134567e-18,0.27989064547266135,2.563465754021893e-37
ADS,Bm2,iter3,-0.01,0.163120821516504,2.1417764518770168e-13,0.2408182832045708,8.837121996140656e-28
ADS,Bm3,iter1,-0.01,0.12987328616173038,5.569966987220606e-09,0.20583422145855532,1.415365779587534e-20
ADS,Bm3,iter2,-0.01,0.18910856464406417,1.4765338890927007e-17,0.2737414704353676,1.042243214934672e-35
ADS,Bm3,iter3,-0.01,0.1576353740943549,1.3447230327022443e-12,0.2498626764656691,7.616498701147939e-30
ADS,Bm4,iter1,-0.01,0.13840560906990165,5.107875648852357e-10,0.2233265253316313,5.0314128669415986e-24
ADS,Bm4,iter2,-0.01,0.18297380045976294,1.618229304831485e-16,0.26533594983398745,1.4168101628141472e-33
ADS,Bm4,iter3,-0.01,0.16279879654855034,2.389903390017104e-13,0.23553600188400048,1.2975939842345487e-26
ADS,Bm5,iter1,-0.01,0.15075614055452793,1.2306410046228465e-11,0.24545976586494145,7.895452889570215e-29
ADS,Bm5,iter2,-0.01,0.17633694441835876,1.9668243548462757e-15,0.2583870870967718,7.209045927245761e-32
ADS,Bm5,iter3,-0.01,0.17819842029931765,9.856447125142911e-16,0.25573841193460295,3.1253749476953713e-31
ADS,Bm6,iter1,-0.01,0.16126374286830725,4.0178649602446567e-13,0.234168756042189,2.573440008462898e-26
ADS,Bm6,iter2,-0.01,0.16852152120802866,3.296381956577824e-14,0.2508782112195528,4.412039542775226e-30
ADS,Bm6,iter3,-0.01,0.1320255812478146,3.092103938019061e-09,0.20662026665506666,1.0054057262714035e-20
ADS,Bm7,iter1,-0.01,0.1589607981610361,8.677439437326541e-13,0.24440697260174313,1.3716652592608494e-28
ADS,Bm7,iter2,-0.01,0.19062420344893144,8.06910911542481e-18,0.2718503659625915,3.195776772337439e-35
