Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
Minimal,Bm5,iter2,-0.1,0.42157967589297773,5.314286157304313e-87,0.41632343008085754,1.1181308828326097e-84
Minimal,Bm5,iter3,-0.1,0.41256454568813344,4.836503578627341e-83,0.40006646051661504,9.45944729954507e-78
Minimal,Bm6,iter1,-0.1,0.39623273741473886,3.581209535588758e-76,0.38780109095027276,8.960182488120303e-73
Minimal,Bm6,iter2,-0.1,0.4059919242545983,3.1287986610769057e-80,0.39912152178038046,2.3269571793557577e-77
Minimal,Bm6,iter3,-0.1,0.392323173937169,1.3869859493964533e-74,0.381109952277488,3.794731243431132e-70
Minimal,Bm7,iter1,-0.1,0.388460397518052,4.899518807211637e-73,0.3913508883377221,3.4173355699553532e-74
Minimal,Bm7,iter2,-0.1,0.4061297446078919,2.7357892665224868e-80,0.398178836044709,5.695279062937583e-77
Minimal,Bm7,iter3,-0.1,0.3881640532061331,6.427833370721403e-73,0.3748219102054775,9.826260679957277e-68
Minimal,Bm8,iter1,-0.1,0.3817291334105763,2.1810442216112013e-70,0.3777044924261231,7.811385858346494e-69
Minimal,Bm8,iter2,-0.1,0.3756688076379068,4.682369869102275e-68,0.37935443133860786,1.8124846586504181e-69
Minimal,Bm8,iter3,-0.1,0.3579592093927302,1.60393032839874e-61,0.3369206312301578,2.7915818841110016e-54
Minimal,Bm9,iter1,-0.1,0.3701389695341545,5.69134149630977e-66,0.3721882260470565,9.713748545172527e-67
Minimal,Bm9,iter2,-0.1,0.3725068566265811,7.370553539979858e-67,0.36639086709771673,1.397129834562897e-64
Minimal,Bm9,iter3,-0.1,0.3431813051843432,2.233657204661345e-56,0.3227245766811442,1.0553886780969203e-49
Minimal,Bm05,iter1,-0.125,0.5545635972883953,1.1506809268765182e-161,0.5556171069042768,2.1218264125991699e-162
Minimal,Bm05,iter2,-0.125,0.5488811455405074,9.470443891886117e-158,0.5425122606280652,1.8885802629452643e-153
Minimal,Bm05,iter3,-0.125,0.5429970654417831,8.95524631985872e-154,0.5387657546914387,5.7892463594900694e-151
Minimal,Bm10,iter1,-0.125,0.4015981524148296,2.1852439253694517e-78,0.40709740777435194,1.0641623468194245e-80
Minimal,Bm10,iter2,-0.125,0.40137673676044144,2.7020767358017107e-78,0.38087862521965626,4.665571307467967e-70
Minimal,Bm10,iter3,-0.125,0.3745349695798959,1.2625326054789028e-67,0.34452007413001856,7.840356472413337e-57
Minimal,Bm1,iter1,-0.125,0.5776511221883383,2.2290653039637705e-178,0.5901178100294525,5.682053055918397e-188
Minimal,Bm1,iter2,-0.125,0.5892997792434522,2.493865979929245e-187,0.5932287898071974,1.9710222183856338e-190
Minimal,Bm1,iter3,-0.125,0.5832949949546549,1.138793031609184e-182,0.576315468078867,2.246738325626794e-177
Minimal,Bm2,iter1,-0.125,0.5604167695660404,8.872528102306955e-166,0.5607835506958877,4.870520819923854e-166
Minimal,Bm2,iter2,-0.125,0.566439361566342,4.260370753804697e-170,0.5682301420575355,2.128458008792759e-171
Minimal,Bm2,iter3,-0.125,0.5492226767857381,5.535642166510901e-158,0.5350227572556893,1.6430308487371947e-148
Minimal,Bm3,iter1,-0.125,0.5403542392805716,5.154751595712193e-152,0.5497190349297587,2.5337649000344403e-158
Minimal,Bm3,iter2,-0.125,0.5353683773959858,9.782076180034534e-149,0.5340880125220031,6.659467332558614e-148
Minimal,Bm3,iter3,-0.125,0.5204730638491,2.907727837198109e-139,0.5018636934659233,4.519556583830972e-128
Minimal,Bm4,iter1,-0.125,0.5080281224740785,1.0579059977260909e-131,0.5136093729023433,4.702814623762278e-135
Minimal,Bm4,iter2,-0.125,0.5100655955448041,6.426339183143721e-133,0.5028658752164687,1.1746311248484149e-128
Minimal,Bm4,iter3,-0.125,0.49174177495845084,2.8672265196494027e-122,0.468856152214038,7.568532871756123e-110
Minimal,Bm5,iter1,-0.125,0.47330060766330334,3.467632263003945e-112,0.4555076263769066,5.006648711986889e-103
Minimal,Bm5,iter2,-0.125,0.4652664703100199,5.534498432924102e-108,0.4548592857148214,1.0547803721554442e-102
Minimal,Bm5,iter3,-0.125,0.4503957170105375,1.706966672428868e-100,0.43059181764795434,4.4164598814493486e-91
Minimal,Bm6,iter1,-0.125,0.4517173294075695,3.815682924697224e-101,0.44307691926922976,6.079070008074768e-97
Minimal,Bm6,iter2,-0.125,0.44278428663758373,8.395446899937631e-97,0.42515626928906725,1.3210989236848976e-88
Minimal,Bm6,iter3,-0.125,0.4492235131760698,6.410963126533958e-100,0.4346699946674986,5.721356566786697e-93
Minimal,Bm7,iter1,-0.125,0.4414112064869288,3.802634450805969e-96,0.4454835618708905,4.2221941588442257e-98
Minimal,Bm7,iter2,-0.125,0.445411305761958,4.5756259575875087e-98,0.43596320799080196,1.424011167964547e-93
Minimal,Bm7,iter3,-0.125,0.4169731725235659,5.801906442841503e-85,0.39269006917251725,9.861701381833356e-75
Minimal,Bm8,iter1,-0.125,0.4309052577362696,3.1689566816887286e-91,0.43209992552498133,8.913854718442577e-92
Minimal,Bm8,iter2,-0.125,0.4362182107978406,1.0816985702234835e-93,0.4164948741237185,9.405304401174258e-85
Minimal,Bm8,iter3,-0.125,0.4109778769987713,2.3381202372262182e-82,0.38038457909614476,7.249120567373855e-70
Minimal,Bm9,iter1,-0.125,0.41793906854111773,2.1819647479286144e-85,0.4235582903895726,6.921638669044988e-88
Minimal,Bm9,iter2,-0.125,0.4053116629873548,6.063325172520339e-80,0.39413623003405746,2.5602659619128924e-75
Minimal,Bm9,iter3,-0.125,0.391978883741615,1.909393465708979e-74,0.36244981411245353,3.8634186391285197e-63
Minimal,Bm05,iter1,-0.15,0.6018720506350895,2.0775081791885936e-197,0.5928723492180873,3.7834511191110827e-190
Minimal,Bm05,iter2,-0.15,0.585926272820698,1.0632595955690479e-184,0.5821424085356021,8.704236490741086e-182
Minimal,Bm05,iter3,-0.15,0.5884707473470243,1.111750099192089e-186,0.5935227613806903,1.1504307194356485e-190
Minimal,Bm10,iter1,-0.15,0.45194206422384764,2.9555992880941015e-101,0.44447088611772145,1.3003746258028418e-97
Minimal,Bm10,iter2,-0.15,0.429754015123062,1.0706610632605536e-90,0.40278032569508143,7.015429163473984e-79
Minimal,Bm10,iter3,-0.15,0.4062159138659593,2.5154806334611684e-80,0.3754915133728783,5.469381628834269e-68
Minimal,Bm1,iter1,-0.15,0.6239731187125872,2.937740101921154e-216,0.6254893488723372,1.3148742716353424e-217
Minimal,Bm1,iter2,-0.15,0.6223089942160277,8.713397819976724e-215,0.622014364003591,1.5845514164128557e-214
Minimal,Bm1,iter3,-0.15,0.6020834833095403,1.3937419909719234e-197,0.5978217819554454,4.107358440201461e-194
Minimal,Bm2,iter1,-0.15,0.6025331712075336,5.957123276970215e-198,0.6075268743817185,4.323645398198518e-202
Minimal,Bm2,iter2,-0.15,0.5902761168138431,4.265604477915185e-188,0.6021634760408691,1.1982844363296519e-197
Minimal,Bm2,iter3,-0.15,0.5838854608353141,4.00467756411361e-183,0.5707212976803243,3.19412569620411e-173
Minimal,Bm3,iter1,-0.15,0.5713127048411537,1.1724614229991448e-173,0.5682290065572516,2.132518487461153e-171
Minimal,Bm3,iter2,-0.15,0.5776084296740327,2.400313293890652e-178,0.5745259031314758,4.883719429590669e-176
Minimal,Bm3,iter3,-0.15,0.5519786366289448,7.10312075733965e-160,0.5379513459878364,1.9906231463168634e-150
Minimal,Bm4,iter1,-0.15,0.5453913028622328,2.2074758646982246e-155,0.5428905907226478,1.055100530626978e-153
Minimal,Bm4,iter2,-0.15,0.5434435050799782,4.499815074773024e-154,0.5319871149967788,1.5224676967967669e-146
Minimal,Bm4,iter3,-0.15,0.5200251535861145,5.510152046122537e-139,0.49750274537568634,1.5099205015765217e-125
Minimal,Bm5,iter1,-0.15,0.5264496493054416,5.239188121377457e-143,0.518548316137079,4.5035349624269145e-138
Minimal,Bm5,iter2,-0.15,0.49826121702240644,5.5286678317679085e-126,0.4833772178443045,1.2803417574802867e-117
Minimal,Bm5,iter3,-0.15,0.4821611366290166,5.924532072141737e-117,0.461247688311922,6.363920071564241e-106
Minimal,Bm6,iter1,-0.15,0.49837131330620077,4.777413283986634e-126,0.4837243134310783,8.259115090062838e-118
Minimal,Bm6,iter2,-0.15,0.48634555249255623,2.9647964189913406e-119,0.4624438156109538,1.5605735347273367e-106
Minimal,Bm6,iter3,-0.15,0.4491786798923597,6.743092497319737e-100,0.4234677128669282,7.600864387508044e-88
Minimal,Bm7,iter1,-0.15,0.4821792727927031,5.790970289501458e-117,0.4755167883791971,2.2948423106749748e-113
Minimal,Bm7,iter2,-0.15,0.48130152923907193,1.7431461395361563e-116,0.45779844344961085,3.5520778820561834e-104
Minimal,Bm7,iter3,-0.15,0.43586291969894575,1.586522352243192e-93,0.40860869865217464,2.4201181888502894e-81
Minimal,Bm8,iter1,-0.15,0.45836954131543317,1.8308521756981574e-104,0.4506933646733412,1.2188164813365163e-100
Minimal,Bm8,iter2,-0.15,0.4699119430321722,2.1208374764664115e-110,0.4479311064827766,2.7412613498773803e-99
Minimal,Bm8,iter3,-0.15,0.4246011212493229,2.3510175629750972e-88,0.3991074832768708,2.358232237862709e-77
Minimal,Bm9,iter1,-0.15,0.4543637020004221,1.862335544691654e-102,0.4497033734258434,3.731929430113568e-100
Minimal,Bm9,iter2,-0.15,0.45642042641730657,1.7488058987205473e-103,0.43155566988891747,1.5896140673825877e-91
Minimal,Bm9,iter3,-0.15,0.4109925583948101,2.3043670018758507e-82,0.3907270876817719,6.0848180098033164e-74
Minimal,Bm05,iter1,-0.175,0.6343847605996635,1.1249377362158684e-225,0.6327953451988362,3.251559242908992e-224
Minimal,Bm05,iter2,-0.175,0.631602637336487,4.006799826446811e-223,0.6205529361382339,3.048367595335353e-213
Minimal,Bm05,iter3,-0.175,0.6198206173628378,1.3335295489477488e-212,0.618952315738079,7.634004320170438e-212
Minimal,Bm10,iter1,-0.175,0.47138396773081015,3.572236975764649e-111,0.46827537756884435,1.520933029382792e-109
Minimal,Bm10,iter2,-0.175,0.4598585326960052,3.233195309322794e-105,0.43147646086911523,1.729083280335638e-91
Minimal,Bm10,iter3,-0.175,0.4180678438847088,1.9147740165248765e-85,0.38179364644841157,2.058613761409259e-70
Minimal,Bm1,iter1,-0.175,0.6306861400471272,2.7394732431692892e-222,0.6365187496296874,1.1913909372775697e-227
Minimal,Bm1,iter2,-0.175,0.646971699500438,1.4844463449089226e-237,0.6411941817985455,4.939851380738175e-232
Minimal,Bm1,iter3,-0.175,0.6331219261773342,1.6315605719200635e-224,0.6326568816642204,4.35471475247043e-224
Minimal,Bm2,iter1,-0.175,0.6329648037909608,2.2737151370831696e-224,0.6247320226830056,6.218406334222247e-217
Minimal,Bm2,iter2,-0.175,0.6281561421260509,5.343124201807353e-220,0.6315748653937163,4.2475398526546385e-223
Minimal,Bm2,iter3,-0.175,0.6072303115701118,7.651139008694556e-202,0.5849244877311219,6.333211642068302e-184
Minimal,Bm3,iter1,-0.175,0.5993307093590783,2.461184124958084e-195,0.5984525306131326,1.2687326509713582e-194
Minimal,Bm3,iter2,-0.175,0.598662693152624,8.572822544385291e-195,0.5943347580836895,2.5925390881507362e-191
Minimal,Bm3,iter3,-0.175,0.5946266177629334,1.5159013537553087e-191,0.5818611134652784,1.4281208872048732e-181
Minimal,Bm4,iter1,-0.175,0.5673134062990461,9.891610522908524e-171,0.5481056555264139,3.1980503395513064e-157
Minimal,Bm4,iter2,-0.175,0.5789767008509351,2.2267281468619e-179,0.5631896952974239,9.348052561347743e-168
Minimal,Bm4,iter3,-0.175,0.5504106567187699,8.509293981537854e-159,0.5305090191272547,1.3583956817560013e-145
Minimal,Bm5,iter1,-0.175,0.547994696251897,3.8053382842183187e-157,0.5299026169756542,3.3235860325784456e-145
Minimal,Bm5,iter2,-0.175,0.5397109742940238,1.374851789491011e-151,0.5223798675949669,1.892674538735244e-140
Minimal,Bm5,iter3,-0.175,0.5035775392946913,4.499456655003146e-129,0.48269144467286124,3.0398245908776236e-117
Minimal,Bm6,iter1,-0.175,0.5190845820849754,2.10265920896732e-138,0.5055786468946617,2.9924988911720824e-130
Minimal,Bm6,iter2,-0.175,0.5192044006748334,1.773291900982248e-138,0.49666230116557525,4.583124492570275e-125
Minimal,Bm6,iter3,-0.175,0.4992544919561299,1.4775521614740643e-126,0.4744615906153976,8.381673759900757e-113
Minimal,Bm7,iter1,-0.175,0.49270193487067493,8.229895360809469e-123,0.4914328858582214,4.280367515380669e-122
Minimal,Bm7,iter2,-0.175,0.49955856925026876,9.856536708998025e-127,0.47391430797857703,1.6380914695118568e-112
Minimal,Bm7,iter3,-0.175,0.4745056293763531,7.941287941787078e-113,0.4450066847516712,7.17459236103072e-98
