Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm4,-0.4,-0.1528264058679706,3.701679574345344e-07
ADS,All duplicates,Divergence ratio,Bm4,-0.3,-0.14442461287693562,1.2125896835894305e-06
ADS,All duplicates,Divergence ratio,Bm4,-0.2,-0.14144295028524853,5.150517019510599e-06
ADS,All duplicates,Divergence ratio,Bm4,-0.1,-0.14447351263243682,1.6832284018090486e-06
ADS,All duplicates,Divergence ratio,Bm4,0.0,-0.12731377343113282,5.232778949250606e-05
ADS,All duplicates,Divergence ratio,Bm4,0.1,-0.1391784841075794,8.106864947306688e-06
ADS,All duplicates,Divergence ratio,Bm4,0.2,-0.14148044009779948,2.2686525759466982e-06
ADS,All duplicates,Divergence ratio,Bm4,0.3,-0.14362713936430316,2.5882309107420434e-06
ADS,All duplicates,Divergence ratio,Bm4,0.4,-0.1490403422982885,9.614265103300805e-07
ADS,All duplicates,Divergence ratio,Bm4,0.5,-0.150281988590057,8.203531063344371e-07
ADS,All duplicates,Divergence ratio,Bm4,0.6,-0.15932029339853296,6.750830072732584e-08
ADS,All duplicates,Divergence ratio,Bm4,0.7,-0.18543194784026076,1.911751127773679e-10
ADS,All duplicates,Divergence ratio,Bm5,-0.4,-0.1775468622656886,1.7563847783582292e-09
ADS,All duplicates,Divergence ratio,Bm5,-0.3,-0.17111695191524037,5.0751407520976954e-09
ADS,All duplicates,Divergence ratio,Bm5,-0.2,-0.16275183374083127,3.99651765385182e-08
ADS,All duplicates,Divergence ratio,Bm5,-0.1,-0.1666051344743276,1.7820500001578903e-08
ADS,All duplicates,Divergence ratio,Bm5,0.0,-0.15698370008149956,1.2917959938777793e-07
ADS,All duplicates,Divergence ratio,Bm5,0.1,-0.1649718826405868,2.1675302441792613e-08
ADS,All duplicates,Divergence ratio,Bm5,0.2,-0.1688052159739201,1.2684837365680343e-08
ADS,All duplicates,Divergence ratio,Bm5,0.3,-0.1680252648736756,8.975036676813394e-09
ADS,All duplicates,Divergence ratio,Bm5,0.4,-0.1775419722901385,1.4282453368134422e-09
ADS,All duplicates,Divergence ratio,Bm5,0.5,-0.18365688671556638,6.098258934864967e-10
ADS,All duplicates,Divergence ratio,Bm5,0.6,-0.1870969845150774,7.981726390937638e-11
ADS,All duplicates,Divergence ratio,Bm5,0.7,-0.20250855745721266,1.413054858308745e-12
ADS,All duplicates,Divergence ratio,Bm6,-0.4,-0.19319519152404233,1.648003955523336e-11
ADS,All duplicates,Divergence ratio,Bm6,-0.3,-0.19373186634066822,4.595516559883587e-11
ADS,All duplicates,Divergence ratio,Bm6,-0.2,-0.18886185819070903,7.400604943678483e-10
ADS,All duplicates,Divergence ratio,Bm6,-0.1,-0.18197025264873676,3.5148295385312167e-10
ADS,All duplicates,Divergence ratio,Bm6,0.0,-0.1862135289323553,1.771845263102515e-10
ADS,All duplicates,Divergence ratio,Bm6,0.1,-0.1910651996740016,2.671155889070557e-11
ADS,All duplicates,Divergence ratio,Bm6,0.2,-0.19126854115729416,3.566210290036527e-11
ADS,All duplicates,Divergence ratio,Bm6,0.3,-0.19417522412387933,2.5479581407713187e-11
ADS,All duplicates,Divergence ratio,Bm6,0.4,-0.19711369193154035,1.5259793428867855e-11
ADS,All duplicates,Divergence ratio,Bm6,0.5,-0.199880195599022,2.347048481491735e-12
ADS,All duplicates,Divergence ratio,Bm6,0.6,-0.20307701711491444,1.9141355167562324e-12
ADS,All duplicates,Divergence ratio,Bm6,0.7,-0.21519356153219235,1.2575126125587607e-13
ADS,All duplicates,Divergence ratio,Bm7,-0.4,-0.21388019559902197,4.15963559892892e-14
ADS,All duplicates,Divergence ratio,Bm7,-0.3,-0.2030085574572127,1.6343593145506931e-12
ADS,All duplicates,Divergence ratio,Bm7,-0.2,-0.20436185819070898,2.0689006063889792e-12
ADS,All duplicates,Divergence ratio,Bm7,-0.1,-0.199841890790546,3.318271583433822e-12
ADS,All duplicates,Divergence ratio,Bm7,0.0,-0.20173186634066823,1.632434927974676e-12
ADS,All duplicates,Divergence ratio,Bm7,0.1,-0.2019735126324368,4.506802338729206e-12
ADS,All duplicates,Divergence ratio,Bm7,0.2,-0.20132355338223307,3.541944515461637e-12
ADS,All duplicates,Divergence ratio,Bm7,0.3,-0.20906356968215156,2.621976709823078e-13
ADS,All duplicates,Divergence ratio,Bm7,0.4,-0.21056519967400156,3.732939883131318e-13
ADS,All duplicates,Divergence ratio,Bm7,0.5,-0.21239853300733488,2.618646040749203e-13
ADS,All duplicates,Divergence ratio,Bm7,0.6,-0.22471189894050525,2.3314683517128287e-15
ADS,All duplicates,Divergence ratio,Bm7,0.7,-0.23204686226568863,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm8,-0.4,-0.2231218418907905,1.3137639124731019e-14
ADS,All duplicates,Divergence ratio,Bm8,-0.3,-0.21510513447432758,1.9791575785651125e-13
ADS,All duplicates,Divergence ratio,Bm8,-0.2,-0.21621352893235532,7.027711745877241e-14
ADS,All duplicates,Divergence ratio,Bm8,-0.1,-0.21390016299918493,6.405986852087155e-14
ADS,All duplicates,Divergence ratio,Bm8,0.0,-0.21377180114099428,5.621429248018709e-14
ADS,All duplicates,Divergence ratio,Bm8,0.1,-0.21397188264058678,6.128431095930865e-14
ADS,All duplicates,Divergence ratio,Bm8,0.2,-0.216361858190709,3.245551975320874e-14
