Model,Run,Iter,Mut_corr,pearson,r_pval,spearman,rho_pval
ADS,Bm6,iter3,0.1,0.08538665688485433,0.00013172877648674094,0.07703695175923794,0.0005644020208405168
ADS,Bm7,iter1,0.1,0.0491973215859539,0.027797822889319788,0.03549214937303734,0.11256593162957587
ADS,Bm7,iter2,0.1,0.08269552939043115,0.00021366477768579705,0.07676446619111654,0.0005905109103414882
ADS,Bm7,iter3,0.1,0.08196916076666723,0.00024287615487179822,0.07870312367578093,0.00042673025078376767
ADS,Bm8,iter1,0.1,0.060820083548625725,0.00651290193605681,0.043068028767007195,0.05413557451427583
ADS,Bm8,iter2,0.1,0.08327878020410946,0.00019263063826127833,0.08080901470225367,0.00029740840732359503
ADS,Bm8,iter3,0.1,0.08670271914734334,0.0001034509830546464,0.08042158260539564,0.0003180380871100028
ADS,Bm9,iter1,0.1,0.06590585121596312,0.003190486853847576,0.0555648303912076,0.012944180854976114
ADS,Bm9,iter2,0.1,0.08183570227594929,0.00024863476821829325,0.08123978480994619,0.0002759444749164038
ADS,Bm9,iter3,0.1,0.09759995728659956,1.2282259526467466e-05,0.08999077799769449,5.573581122511833e-05
ADS,Bm05,iter1,-0.1,-0.1249511936115719,2.0648475998834347e-08,-0.13249384212346052,2.717049790744714e-09
ADS,Bm05,iter2,-0.1,-0.15122964783893972,1.0600771781683585e-11,-0.15309808427452107,5.8568746849188505e-12
ADS,Bm05,iter3,-0.1,-0.12038767496060201,6.657211573167682e-08,-0.13522664780666194,1.266055232168217e-09
ADS,Bm10,iter1,-0.1,-0.14186053033237078,1.8599360355431445e-10,-0.14512010728002683,7.009407548940268e-11
ADS,Bm10,iter2,-0.1,-0.0942714169026133,2.4137486073343592e-05,-0.0820423780105945,0.00023977024768242342
ADS,Bm10,iter3,-0.1,-0.10149990171434942,5.4125826449970855e-06,-0.09375907443976861,2.6730945768068953e-05
ADS,Bm1,iter1,-0.1,-0.11406960585315772,3.139714649898932e-07,-0.11645918011479503,1.7629792744406674e-07
ADS,Bm1,iter2,-0.1,-0.14953784331854372,1.8026074695440678e-11,-0.15730783532695886,1.4976014160852274e-12
ADS,Bm1,iter3,-0.1,-0.14543980220793462,6.36203341356709e-11,-0.15805772001443,1.170005792542602e-12
ADS,Bm2,iter1,-0.1,-0.13599559466679864,1.0184268329595827e-09,-0.14689225422306357,4.085304663867364e-11
ADS,Bm2,iter2,-0.1,-0.11608300155159193,1.932130882074993e-07,-0.11760826740206685,1.3302594683325858e-07
ADS,Bm2,iter3,-0.1,-0.16012811435579374,5.881717015042731e-13,-0.15975018093754523,6.672999058677831e-13
ADS,Bm3,iter1,-0.1,-0.14244744345245788,1.5627722022911083e-10,-0.15576005844001461,2.483374693783338e-12
ADS,Bm3,iter2,-0.1,-0.10543546750528432,2.2961113346814776e-06,-0.1022045655511414,4.652721374526209e-06
ADS,Bm3,iter3,-0.1,-0.1440616744517021,9.646170921664211e-11,-0.13803932850983214,5.677070211172502e-10
ADS,Bm4,iter1,-0.1,-0.13528108574238712,1.2467469183591588e-09,-0.14514285928571483,6.961282338768649e-11
ADS,Bm4,iter2,-0.1,-0.11664478376668383,1.684882871706109e-07,-0.11283955320988831,4.2068997637456777e-07
