Model,Run,Iter,Mut_corr,pearson,r_pval,spearman,rho_pval
ADS,Bm6,iter2,0.1,0.07759078554301493,0.0005146126646653393,0.11146948286737071,5.806879915623069e-07
ADS,Bm6,iter3,0.1,0.0916070014854566,4.0807847046868624e-05,0.1301879020469755,5.113847608371838e-09
ADS,Bm7,iter1,0.1,0.06860645872306753,0.002141495068158241,0.09095007773751942,4.63491565195356e-05
ADS,Bm7,iter2,0.1,0.10592504320606488,2.0593447724164142e-06,0.13256591714147925,2.6634009981857303e-09
ADS,Bm7,iter3,0.1,0.08050162028428146,0.0003136696220977011,0.11593598898399725,2.0024085747424007e-07
ADS,Bm8,iter1,0.1,0.09238388214188523,3.5065011050685293e-05,0.11108215427053855,6.356519824735296e-07
ADS,Bm8,iter2,0.1,0.11385512317539377,3.3047817730317134e-07,0.1416571644142911,1.9752483521662215e-10
ADS,Bm8,iter3,0.1,0.11336475496029381,3.714218210411651e-07,0.13874554068638517,4.6296603457687884e-10
ADS,Bm9,iter1,0.1,0.10349995880306441,3.51412188530216e-06,0.12377279944319985,2.80499131941276e-08
ADS,Bm9,iter2,0.1,0.0897823593723333,5.8000531998350104e-05,0.11780390195097548,1.2676435963213769e-07
ADS,Bm9,iter3,0.1,0.07857305675475047,0.00043623087024752076,0.10662725815681454,1.7602497148990141e-06
ADS,Bm05,iter1,-0.1,0.0487257748832086,0.029330562464430516,0.0822178660544665,0.0002324768866605761
ADS,Bm05,iter2,-0.1,0.0834776221675849,0.00018591567384260713,0.11640208860052215,1.7876969818952362e-07
ADS,Bm05,iter3,-0.1,0.09618471737653139,1.6413135954194802e-05,0.14028236157059037,2.9596834806068783e-10
ADS,Bm10,iter1,-0.1,0.1098584617989053,8.442038111456169e-07,0.13862675565668892,4.791581399115959e-10
ADS,Bm10,iter2,-0.1,0.09850108805489104,1.0190846177940865e-05,0.11031225957806488,7.601534678504825e-07
ADS,Bm10,iter3,-0.1,0.07739764317843739,0.0005314919228457687,0.10142735385683845,5.4972317866579315e-06
ADS,Bm1,iter1,-0.1,0.13170757973810715,3.3750403556787583e-09,0.15988677997169498,6.375634376377911e-13
ADS,Bm1,iter2,-0.1,0.136576557732644,8.633029014311659e-10,0.16063054015763503,4.970800850093676e-13
ADS,Bm1,iter3,-0.1,0.06011138921716372,0.007166337586112349,0.09495511023877756,2.1047339505994648e-05
ADS,Bm2,iter1,-0.1,0.07037142923840536,0.0016380613828872082,0.12988923697230925,5.545919397544502e-09
ADS,Bm2,iter2,-0.1,0.10419057370879944,3.021628035664753e-06,0.1545894176473544,3.628344478862181e-12
ADS,Bm2,iter3,-0.1,0.07804288656937436,0.00047703499701854605,0.10003728700932174,7.385878776622544e-06
ADS,Bm3,iter1,-0.1,0.1139053376013611,3.2654018981216993e-07,0.15930271132567783,7.745573466755881e-13
ADS,Bm3,iter2,-0.1,0.10530793293595309,2.3619522399265525e-06,0.14513590378397592,6.975960296124322e-11
ADS,Bm3,iter3,-0.1,0.08919731793293624,6.483214466145365e-05,0.1193978728494682,8.533693951986479e-08
ADS,Bm4,iter1,-0.1,0.10198584873441718,4.8769056869860755e-06,0.13970458092614524,3.503845681782718e-10
ADS,Bm4,iter2,-0.1,0.09569133022473851,1.814198560438749e-05,0.12027980106995026,6.840498506084168e-08
ADS,Bm4,iter3,-0.1,0.0945037580985691,2.304191390678401e-05,0.12516800079200022,1.9510842167253337e-08
ADS,Bm5,iter1,-0.1,0.10689393353007129,1.6579811726321364e-06,0.14325035231258806,1.2301723482438978e-10
ADS,Bm5,iter2,-0.1,0.10681324896411273,1.6883052998151503e-06,0.13905990476497618,4.2264561519787214e-10
ADS,Bm5,iter3,-0.1,0.12226417518008267,4.134908050836277e-08,0.13793549698387422,5.849372644250636e-10
ADS,Bm6,iter1,-0.1,0.11984777276357746,7.624736145048093e-08,0.1512172293043073,1.0642396318894734e-11
ADS,Bm6,iter2,-0.1,0.08411805264637658,0.0001657522474215308,0.12336428784107195,3.117213933587478e-08
ADS,Bm6,iter3,-0.1,0.0992994947983315,8.625833786119855e-06,0.1214289903572476,5.1156754072560323e-08
ADS,Bm7,iter1,-0.1,0.10131563595704432,5.63006597240276e-06,0.12598722149680536,1.5736270738783268e-08
ADS,Bm7,iter2,-0.1,0.10621104308764072,1.932067976093809e-06,0.12299152124788029,3.431328739299503e-08
ADS,Bm7,iter3,-0.1,0.10255515556486504,4.313811590539492e-06,0.11226209206552301,4.821269369718858e-07
ADS,Bm8,iter1,-0.1,0.12132183568806167,5.2567600495942796e-08,0.14783876195969048,3.053742089891593e-11
ADS,Bm8,iter2,-0.1,0.09744068580790718,1.2692123802417763e-05,0.11223890655972661,4.847660653414571e-07
ADS,Bm8,iter3,-0.1,0.09329164610515445,2.932619659963516e-05,0.11350588937647232,3.5916147704571787e-07
ADS,Bm9,iter1,-0.1,0.10324681364838342,3.713217995591248e-06,0.12084037221009307,5.938553418552743e-08
ADS,Bm9,iter2,-0.1,0.10875611232711041,1.0872755195679155e-06,0.12838785509696377,8.314753056349829e-09
ADS,Bm9,iter3,-0.1,0.10810028612351234,1.2624583119853977e-06,0.13628989007247252,9.367274339321903e-10
ADS,Bm05,iter1,0.2,0.0756319766475172,0.000711524844210914,0.11819330354832587,1.1513797060261444e-07
ADS,Bm05,iter2,0.2,0.11453627642334024,2.807591887341347e-07,0.16499350724837683,1.1272616531444945e-13
ADS,Bm05,iter3,0.2,0.09913655574764935,8.925300342866303e-06,0.12642271660567916,1.4028851144486471e-08
ADS,Bm10,iter1,0.2,0.10523452197167146,2.4006687465035302e-06,0.13956814689203673,3.645941313562651e-10
ADS,Bm10,iter2,0.2,0.12657941582145518,1.3459635327088351e-08,0.15507666576916646,3.0997252901717658e-12
ADS,Bm10,iter3,0.2,0.1118141694763292,5.356490082887908e-07,0.13012813153203287,5.19761037658631e-09
ADS,Bm1,iter1,0.2,0.16088388225340233,4.565511723403682e-13,0.18772689943172485,2.5500729365500145e-17
ADS,Bm1,iter2,0.2,0.15602347895150376,2.279372987056866e-12,0.1892162453040613,1.4147250938963548e-17
ADS,Bm1,iter3,0.2,0.1311288932907787,3.955884006049838e-09,0.1551089892772473,3.0674599634799694e-12
ADS,Bm2,iter1,0.2,0.10898869477382112,1.0309595931142802e-06,0.18429313457328364,9.737416898529163e-17
ADS,Bm2,iter2,0.2,0.11067987599111256,6.980289866987156e-07,0.16087456921864232,4.579819244711907e-13
ADS,Bm2,iter3,0.2,0.09001212541551143,5.5508631607228817e-05,0.1311335127833782,3.950883346712213e-09
ADS,Bm3,iter1,0.2,0.09784564946709319,1.1674660382569718e-05,0.14020752505188125,3.0252154257255284e-10
ADS,Bm3,iter2,0.2,0.10558521648022115,2.221049007652205e-06,0.1527187596796899,6.610522444570638e-12
ADS,Bm3,iter3,0.2,0.0883850321859934,7.558770664298799e-05,0.11297247274311818,4.0765661637614805e-07
ADS,Bm4,iter1,0.2,0.09317953219406713,2.998334233787868e-05,0.12617448004362,1.4978718547557375e-08
ADS,Bm4,iter2,0.2,0.10615919973835194,1.9545647549466658e-06,0.14195829248957312,1.8068683913965416e-10
ADS,Bm4,iter3,0.2,0.11150504931522501,5.758769772147549e-07,0.13377320594330147,1.9040129410728543e-09
ADS,Bm5,iter1,0.2,0.08820012380628987,7.826141267526054e-05,0.10829459407364851,1.2079088092245245e-06
ADS,Bm5,iter2,0.2,0.10534251056984344,2.343924408404035e-06,0.14275435318858828,1.42638785361421e-10
