,Model,Comparison,Run,Mut_sd,KS stats
387,No Cost,WGD,Bm4,0.2,0.14439880952380948
388,No Cost,WGD,Bm4,0.25,0.14926190476190473
389,No Cost,WGD,Bm4,0.35,0.1919506802721088
390,No Cost,WGD,Bm5,0.01,0.217547619047619
391,No Cost,WGD,Bm5,0.025,0.21108418367346937
392,No Cost,WGD,Bm5,0.05,0.18621768707482989
393,No Cost,WGD,Bm5,0.075,0.1664753401360544
394,No Cost,WGD,Bm5,0.1,0.15538265306122442
395,No Cost,WGD,Bm5,0.125,0.15320323129251698
396,No Cost,WGD,Bm5,0.15,0.1542848639455782
397,No Cost,WGD,Bm5,0.2,0.159313775510204
398,No Cost,WGD,Bm5,0.25,0.16636054421768703
399,No Cost,WGD,Bm5,0.35,0.1930994897959183
400,No Cost,WGD,Bm6,0.01,0.23296003401360543
401,No Cost,WGD,Bm6,0.025,0.2271896258503401
402,No Cost,WGD,Bm6,0.05,0.20198299319727886
403,No Cost,WGD,Bm6,0.075,0.18376700680272107
404,No Cost,WGD,Bm6,0.1,0.17344387755102034
405,No Cost,WGD,Bm6,0.125,0.16753996598639453
406,No Cost,WGD,Bm6,0.15,0.17059863945578232
407,No Cost,WGD,Bm6,0.2,0.17010034013605438
408,No Cost,WGD,Bm6,0.25,0.17734438775510197
409,No Cost,WGD,Bm6,0.35,0.21172619047619043
410,No Cost,WGD,Bm7,0.01,0.25253401360544214
411,No Cost,WGD,Bm7,0.025,0.24163265306122442
412,No Cost,WGD,Bm7,0.05,0.21851615646258496
413,No Cost,WGD,Bm7,0.075,0.19605272108843533
414,No Cost,WGD,Bm7,0.1,0.187516156462585
415,No Cost,WGD,Bm7,0.125,0.18284013605442176
416,No Cost,WGD,Bm7,0.15,0.18261904761904757
417,No Cost,WGD,Bm7,0.2,0.18377976190476186
418,No Cost,WGD,Bm7,0.25,0.19099064625850337
419,No Cost,WGD,Bm7,0.35,0.2232534013605442
420,No Cost,WGD,Bm8,0.01,0.2675280612244898
421,No Cost,WGD,Bm8,0.025,0.25661054421768703
422,No Cost,WGD,Bm8,0.05,0.2329642857142857
423,No Cost,WGD,Bm8,0.075,0.21055442176870742
424,No Cost,WGD,Bm8,0.1,0.20044642857142855
425,No Cost,WGD,Bm8,0.125,0.19696513605442176
426,No Cost,WGD,Bm8,0.15,0.196343537414966
427,No Cost,WGD,Bm8,0.2,0.19660714285714284
428,No Cost,WGD,Bm8,0.25,0.2009770408163265
429,No Cost,WGD,Bm8,0.35,0.23523809523809527
430,No Cost,WGD,Bm9,0.01,0.2784863945578231
431,No Cost,WGD,Bm9,0.025,0.268672619047619
432,No Cost,WGD,Bm9,0.05,0.24125170068027205
433,No Cost,WGD,Bm9,0.075,0.22384778911564626
434,No Cost,WGD,Bm9,0.1,0.2102602040816326
435,No Cost,WGD,Bm9,0.125,0.2072253401360544
436,No Cost,WGD,Bm9,0.15,0.20878656462585032
437,No Cost,WGD,Bm9,0.2,0.212454081632653
438,No Cost,WGD,Bm9,0.25,0.21290306122448974
439,No Cost,WGD,Bm9,0.35,0.2385663265306122
