,Model,Comparison,Run,Mut_sd,KS stats
177,Minimal,WGD,Bm5,0.2,0.10094472789115642
178,Minimal,WGD,Bm5,0.25,0.1271471088435374
179,Minimal,WGD,Bm5,0.35,0.18000935374149654
180,Minimal,WGD,Bm6,0.01,0.1259889455782313
181,Minimal,WGD,Bm6,0.025,0.121843537414966
182,Minimal,WGD,Bm6,0.05,0.10496853741496594
183,Minimal,WGD,Bm6,0.075,0.0920722789115646
184,Minimal,WGD,Bm6,0.1,0.08487670068027207
185,Minimal,WGD,Bm6,0.125,0.08602040816326527
186,Minimal,WGD,Bm6,0.15,0.09294642857142854
187,Minimal,WGD,Bm6,0.2,0.11097789115646256
188,Minimal,WGD,Bm6,0.25,0.13108503401360538
189,Minimal,WGD,Bm6,0.35,0.1906777210884353
190,Minimal,WGD,Bm7,0.01,0.13644642857142852
191,Minimal,WGD,Bm7,0.025,0.12850850340136052
192,Minimal,WGD,Bm7,0.05,0.11128656462585029
193,Minimal,WGD,Bm7,0.075,0.09991581632653057
194,Minimal,WGD,Bm7,0.1,0.09058418367346933
195,Minimal,WGD,Bm7,0.125,0.09822023809523807
196,Minimal,WGD,Bm7,0.15,0.10478656462585034
197,Minimal,WGD,Bm7,0.2,0.11876955782312922
198,Minimal,WGD,Bm7,0.25,0.14132738095238093
199,Minimal,WGD,Bm7,0.35,0.20103401360544215
200,Minimal,WGD,Bm8,0.01,0.1467440476190476
201,Minimal,WGD,Bm8,0.025,0.1334702380952381
202,Minimal,WGD,Bm8,0.05,0.11609863945578226
203,Minimal,WGD,Bm8,0.075,0.1061581632653061
204,Minimal,WGD,Bm8,0.1,0.09998809523809521
205,Minimal,WGD,Bm8,0.125,0.10284183673469387
206,Minimal,WGD,Bm8,0.15,0.11061309523809522
207,Minimal,WGD,Bm8,0.2,0.12920068027210882
208,Minimal,WGD,Bm8,0.25,0.15379931972789113
209,Minimal,WGD,Bm8,0.35,0.20447619047619045
210,Minimal,WGD,Bm9,0.01,0.14777040816326528
211,Minimal,WGD,Bm9,0.025,0.13919812925170064
212,Minimal,WGD,Bm9,0.05,0.13274064625850338
213,Minimal,WGD,Bm9,0.075,0.1146224489795918
214,Minimal,WGD,Bm9,0.1,0.10355017006802719
215,Minimal,WGD,Bm9,0.125,0.11331037414965983
216,Minimal,WGD,Bm9,0.15,0.11906377551020407
217,Minimal,WGD,Bm9,0.2,0.13369812925170066
218,Minimal,WGD,Bm9,0.25,0.15462585034013604
219,Minimal,WGD,Bm9,0.35,0.21105527210884353
220,Mixed,WGD,Bm05,0.01,0.12746513605442172
221,Mixed,WGD,Bm05,0.025,0.12613265306122445
222,Mixed,WGD,Bm05,0.05,0.12748809523809518
223,Mixed,WGD,Bm05,0.075,0.1255901360544217
224,Mixed,WGD,Bm05,0.1,0.12841411564625843
225,Mixed,WGD,Bm05,0.125,0.12507482993197275
226,Mixed,WGD,Bm05,0.15,0.13658078231292517
227,Mixed,WGD,Bm05,0.2,0.15297448979591835
228,Mixed,WGD,Bm05,0.25,0.1771989795918367
229,Mixed,WGD,Bm05,0.35,0.22352380952380949
230,Mixed,WGD,Bm1,0.01,0.12084353741496597
231,Mixed,WGD,Bm1,0.025,0.11059183673469382
232,Mixed,WGD,Bm1,0.05,0.10455527210884351
233,Mixed,WGD,Bm1,0.075,0.09386904761904757
234,Mixed,WGD,Bm1,0.1,0.09156547619047617
235,Mixed,WGD,Bm1,0.125,0.09806887755102035
236,Mixed,WGD,Bm1,0.15,0.10213435374149658
237,Mixed,WGD,Bm1,0.2,0.12242261904761904
238,Mixed,WGD,Bm1,0.25,0.13750255102040812
239,Mixed,WGD,Bm1,0.35,0.19492006802721085
240,Mixed,WGD,Bm10,0.01,0.17021428571428565
241,Mixed,WGD,Bm10,0.025,0.1623273809523809
242,Mixed,WGD,Bm10,0.05,0.1452831632653061
243,Mixed,WGD,Bm10,0.075,0.1379974489795918
244,Mixed,WGD,Bm10,0.1,0.12562585034013604
245,Mixed,WGD,Bm10,0.125,0.13078146258503398
246,Mixed,WGD,Bm10,0.15,0.13461224489795917
247,Mixed,WGD,Bm10,0.2,0.15458758503401357
248,Mixed,WGD,Bm10,0.25,0.17075850340136056
249,Mixed,WGD,Bm10,0.35,0.2236666666666666
250,Mixed,WGD,Bm2,0.01,0.12137925170068024
251,Mixed,WGD,Bm2,0.025,0.10890391156462581
252,Mixed,WGD,Bm2,0.05,0.09249234693877546
253,Mixed,WGD,Bm2,0.075,0.08189030612244894
254,Mixed,WGD,Bm2,0.1,0.07575340136054418
255,Mixed,WGD,Bm2,0.125,0.08191666666666662
256,Mixed,WGD,Bm2,0.15,0.07924659863945575
257,Mixed,WGD,Bm2,0.2,0.09012499999999997
